 zone T = "Var            1 : IMEX",
 0.00000E+00  0.12529E+01
-0.10000E+00  0.12406E+01
-0.20000E+00  0.12261E+01
-0.30000E+00  0.12090E+01
-0.40000E+00  0.11894E+01
-0.50000E+00  0.11671E+01
-0.60000E+00  0.11421E+01
-0.70000E+00  0.11148E+01
-0.80000E+00  0.10854E+01
-0.90000E+00  0.10544E+01
-0.10000E+01  0.10226E+01
-0.11000E+01  0.99069E+00
-0.12000E+01  0.95946E+00
-0.13000E+01  0.92973E+00
-0.14000E+01  0.90218E+00
-0.15000E+01  0.87732E+00
-0.16000E+01  0.85544E+00
-0.17000E+01  0.83658E+00
-0.18000E+01  0.82061E+00
-0.19000E+01  0.80728E+00
-0.20000E+01  0.79628E+00
-0.21000E+01  0.78729E+00
-0.22000E+01  0.77997E+00
-0.23000E+01  0.77406E+00
-0.24000E+01  0.76930E+00
-0.25000E+01  0.76548E+00
-0.26000E+01  0.76242E+00
-0.27000E+01  0.75998E+00
-0.28000E+01  0.75802E+00
-0.29000E+01  0.75646E+00
-0.30000E+01  0.75522E+00
-0.31000E+01  0.75423E+00
-0.32000E+01  0.75344E+00
-0.33000E+01  0.75282E+00
-0.34000E+01  0.75232E+00
-0.35000E+01  0.75192E+00
-0.36000E+01  0.75161E+00
-0.37000E+01  0.75136E+00
-0.38000E+01  0.75116E+00
-0.39000E+01  0.75100E+00
-0.40000E+01  0.75088E+00
-0.41000E+01  0.75078E+00
-0.42000E+01  0.75070E+00
-0.43000E+01  0.75063E+00
-0.44000E+01  0.75058E+00
-0.45000E+01  0.75054E+00
-0.46000E+01  0.75051E+00
-0.47000E+01  0.75049E+00
-0.48000E+01  0.75047E+00
-0.49000E+01  0.75045E+00
-0.50000E+01  0.75044E+00
-0.51000E+01  0.75043E+00
-0.52000E+01  0.75042E+00
-0.53000E+01  0.75041E+00
-0.54000E+01  0.75041E+00
-0.55000E+01  0.75041E+00
-0.56000E+01  0.75040E+00
-0.57000E+01  0.75040E+00
-0.58000E+01  0.75040E+00
-0.59000E+01  0.75040E+00
-0.60000E+01  0.75039E+00
-0.61000E+01  0.75039E+00
-0.62000E+01  0.75039E+00
-0.63000E+01  0.75039E+00
-0.64000E+01  0.75039E+00
-0.65000E+01  0.75039E+00
-0.66000E+01  0.75039E+00
-0.67000E+01  0.75039E+00
-0.68000E+01  0.75039E+00
-0.69000E+01  0.75039E+00
-0.70000E+01  0.75039E+00
-0.71000E+01  0.75039E+00
-0.72000E+01  0.75039E+00
-0.73000E+01  0.75039E+00
-0.74000E+01  0.75039E+00
-0.75000E+01  0.75039E+00
-0.76000E+01  0.75039E+00
-0.77000E+01  0.75039E+00
-0.78000E+01  0.75039E+00
-0.79000E+01  0.75039E+00
-0.80000E+01  0.75039E+00
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.96565E+00
-0.10000E+00  0.96844E+00
-0.20000E+00  0.97192E+00
-0.30000E+00  0.97628E+00
-0.40000E+00  0.98171E+00
-0.50000E+00  0.98844E+00
-0.60000E+00  0.99678E+00
-0.70000E+00  0.10070E+01
-0.80000E+00  0.10195E+01
-0.90000E+00  0.10347E+01
-0.10000E+01  0.10529E+01
-0.11000E+01  0.10743E+01
-0.12000E+01  0.10991E+01
-0.13000E+01  0.11273E+01
-0.14000E+01  0.11585E+01
-0.15000E+01  0.11921E+01
-0.16000E+01  0.12271E+01
-0.17000E+01  0.12625E+01
-0.18000E+01  0.12972E+01
-0.19000E+01  0.13303E+01
-0.20000E+01  0.13609E+01
-0.21000E+01  0.13885E+01
-0.22000E+01  0.14131E+01
-0.23000E+01  0.14345E+01
-0.24000E+01  0.14529E+01
-0.25000E+01  0.14685E+01
-0.26000E+01  0.14815E+01
-0.27000E+01  0.14924E+01
-0.28000E+01  0.15013E+01
-0.29000E+01  0.15086E+01
-0.30000E+01  0.15146E+01
-0.31000E+01  0.15194E+01
-0.32000E+01  0.15233E+01
-0.33000E+01  0.15265E+01
-0.34000E+01  0.15290E+01
-0.35000E+01  0.15310E+01
-0.36000E+01  0.15326E+01
-0.37000E+01  0.15339E+01
-0.38000E+01  0.15349E+01
-0.39000E+01  0.15357E+01
-0.40000E+01  0.15364E+01
-0.41000E+01  0.15369E+01
-0.42000E+01  0.15373E+01
-0.43000E+01  0.15376E+01
-0.44000E+01  0.15379E+01
-0.45000E+01  0.15381E+01
-0.46000E+01  0.15382E+01
-0.47000E+01  0.15384E+01
-0.48000E+01  0.15385E+01
-0.49000E+01  0.15386E+01
-0.50000E+01  0.15386E+01
-0.51000E+01  0.15387E+01
-0.52000E+01  0.15387E+01
-0.53000E+01  0.15388E+01
-0.54000E+01  0.15388E+01
-0.55000E+01  0.15388E+01
-0.56000E+01  0.15388E+01
-0.57000E+01  0.15388E+01
-0.58000E+01  0.15388E+01
-0.59000E+01  0.15388E+01
-0.60000E+01  0.15389E+01
-0.61000E+01  0.15389E+01
-0.62000E+01  0.15389E+01
-0.63000E+01  0.15389E+01
-0.64000E+01  0.15389E+01
-0.65000E+01  0.15389E+01
-0.66000E+01  0.15389E+01
