 zone T = "Var            1 : IMEX",
 0.00000E+00  0.48983E+01
-0.10000E+00  0.48945E+01
-0.20000E+00  0.48751E+01
-0.30000E+00  0.48688E+01
-0.40000E+00  0.48528E+01
-0.50000E+00  0.48243E+01
-0.60000E+00  0.47913E+01
-0.70000E+00  0.47182E+01
-0.80000E+00  0.43385E+01
-0.90000E+00  0.51521E+01
-0.10000E+01  0.49274E+01
-0.11000E+01  0.48667E+01
-0.12000E+01  0.48432E+01
-0.13000E+01  0.48323E+01
-0.14000E+01  0.48328E+01
-0.15000E+01  0.48526E+01
-0.16000E+01  0.49394E+01
-0.17000E+01  0.54063E+01
-0.18000E+01  0.46912E+01
-0.19000E+01  0.46705E+01
-0.20000E+01  0.47780E+01
-0.21000E+01  0.48774E+01
-0.22000E+01  0.49195E+01
-0.23000E+01  0.49370E+01
-0.24000E+01  0.49511E+01
-0.25000E+01  0.49616E+01
-0.26000E+01  0.49682E+01
-0.27000E+01  0.49657E+01
-0.28000E+01  0.49696E+01
-0.29000E+01  0.49797E+01
-0.30000E+01  0.49701E+01
-0.31000E+01  0.49751E+01
-0.32000E+01  0.49770E+01
-0.33000E+01  0.49822E+01
-0.34000E+01  0.49750E+01
-0.35000E+01  0.49746E+01
-0.36000E+01  0.49728E+01
-0.37000E+01  0.49912E+01
-0.38000E+01  0.49745E+01
-0.39000E+01  0.49855E+01
-0.40000E+01  0.49848E+01
-0.41000E+01  0.49829E+01
-0.42000E+01  0.49843E+01
-0.43000E+01  0.49903E+01
-0.44000E+01  0.49868E+01
-0.45000E+01  0.49803E+01
-0.46000E+01  0.49672E+01
-0.47000E+01  0.49823E+01
-0.48000E+01  0.49784E+01
-0.49000E+01  0.49844E+01
-0.50000E+01  0.49787E+01
-0.51000E+01  0.49892E+01
-0.52000E+01  0.49757E+01
-0.53000E+01  0.49724E+01
-0.54000E+01  0.49736E+01
-0.55000E+01  0.49829E+01
-0.56000E+01  0.49742E+01
-0.57000E+01  0.49890E+01
-0.58000E+01  0.49856E+01
-0.59000E+01  0.49753E+01
-0.60000E+01  0.49800E+01
-0.61000E+01  0.49803E+01
-0.62000E+01  0.49736E+01
-0.63000E+01  0.49832E+01
-0.64000E+01  0.49857E+01
-0.65000E+01  0.49925E+01
-0.66000E+01  0.49681E+01
-0.67000E+01  0.49934E+01
-0.68000E+01  0.49843E+01
-0.69000E+01  0.49943E+01
-0.70000E+01  0.49786E+01
-0.71000E+01  0.49737E+01
-0.72000E+01  0.49929E+01
-0.73000E+01  0.49860E+01
-0.74000E+01  0.49825E+01
-0.75000E+01  0.49824E+01
-0.76000E+01  0.49808E+01
-0.77000E+01  0.49929E+01
-0.78000E+01  0.49894E+01
-0.79000E+01  0.49817E+01
-0.80000E+01  0.49858E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.10413E+01
-0.10000E+00  0.10404E+01
-0.20000E+00  0.10392E+01
-0.30000E+00  0.10378E+01
-0.40000E+00  0.10361E+01
-0.50000E+00  0.10349E+01
-0.60000E+00  0.10325E+01
-0.70000E+00  0.10303E+01
-0.80000E+00  0.10276E+01
-0.90000E+00  0.10246E+01
-0.10000E+01  0.10203E+01
-0.11000E+01  0.10171E+01
-0.12000E+01  0.10145E+01
-0.13000E+01  0.10130E+01
-0.14000E+01  0.10127E+01
-0.15000E+01  0.10139E+01
-0.16000E+01  0.10167E+01
-0.17000E+01  0.10217E+01
-0.18000E+01  0.10279E+01
-0.19000E+01  0.10342E+01
-0.20000E+01  0.10410E+01
-0.21000E+01  0.10489E+01
-0.22000E+01  0.10553E+01
-0.23000E+01  0.10610E+01
-0.24000E+01  0.10660E+01
-0.25000E+01  0.10703E+01
-0.26000E+01  0.10739E+01
-0.27000E+01  0.10768E+01
-0.28000E+01  0.10793E+01
-0.29000E+01  0.10812E+01
