 zone T = "Var            1 : IMEX",
 0.00000E+00  0.38122E+01
-0.10000E+00  0.37017E+01
-0.20000E+00  0.38071E+01
-0.30000E+00  0.38471E+01
-0.40000E+00  0.38219E+01
-0.50000E+00  0.38165E+01
-0.60000E+00  0.38012E+01
-0.70000E+00  0.37465E+01
-0.80000E+00  0.36715E+01
-0.90000E+00  0.36007E+01
-0.10000E+01  0.36543E+01
-0.11000E+01  0.37049E+01
-0.12000E+01  0.38174E+01
-0.13000E+01  0.38631E+01
-0.14000E+01  0.38850E+01
-0.15000E+01  0.39079E+01
-0.16000E+01  0.39119E+01
-0.17000E+01  0.39255E+01
-0.18000E+01  0.39345E+01
-0.19000E+01  0.39401E+01
-0.20000E+01  0.39514E+01
-0.21000E+01  0.39467E+01
-0.22000E+01  0.39470E+01
-0.23000E+01  0.39500E+01
-0.24000E+01  0.39498E+01
-0.25000E+01  0.39564E+01
-0.26000E+01  0.39558E+01
-0.27000E+01  0.39550E+01
-0.28000E+01  0.39565E+01
-0.29000E+01  0.39556E+01
-0.30000E+01  0.39569E+01
-0.31000E+01  0.39516E+01
-0.32000E+01  0.39557E+01
-0.33000E+01  0.39583E+01
-0.34000E+01  0.39543E+01
-0.35000E+01  0.39549E+01
-0.36000E+01  0.39605E+01
-0.37000E+01  0.39608E+01
-0.38000E+01  0.39568E+01
-0.39000E+01  0.39566E+01
-0.40000E+01  0.39614E+01
-0.41000E+01  0.39593E+01
-0.42000E+01  0.39587E+01
-0.43000E+01  0.39587E+01
-0.44000E+01  0.39540E+01
-0.45000E+01  0.39587E+01
-0.46000E+01  0.39574E+01
-0.47000E+01  0.39589E+01
-0.48000E+01  0.39600E+01
-0.49000E+01  0.39583E+01
-0.50000E+01  0.39606E+01
-0.51000E+01  0.39599E+01
-0.52000E+01  0.39574E+01
-0.53000E+01  0.39595E+01
-0.54000E+01  0.39554E+01
-0.55000E+01  0.39598E+01
-0.56000E+01  0.39580E+01
-0.57000E+01  0.39562E+01
-0.58000E+01  0.39619E+01
-0.59000E+01  0.39618E+01
-0.60000E+01  0.39558E+01
-0.61000E+01  0.39545E+01
-0.62000E+01  0.39561E+01
-0.63000E+01  0.39567E+01
-0.64000E+01  0.39565E+01
-0.65000E+01  0.39595E+01
-0.66000E+01  0.39543E+01
