 zone T = "Var            1 : IMEX",
 0.00000E+00  0.10034E+01
-0.10000E+00  0.10014E+01
-0.20000E+00  0.99999E+00
-0.30000E+00  0.99894E+00
-0.40000E+00  0.99812E+00
-0.50000E+00  0.99748E+00
-0.60000E+00  0.99696E+00
-0.70000E+00  0.99654E+00
-0.80000E+00  0.99621E+00
-0.90000E+00  0.99593E+00
-0.10000E+01  0.99571E+00
-0.11000E+01  0.99553E+00
-0.12000E+01  0.99539E+00
-0.13000E+01  0.99527E+00
-0.14000E+01  0.99518E+00
-0.15000E+01  0.99510E+00
-0.16000E+01  0.99504E+00
-0.17000E+01  0.99499E+00
-0.18000E+01  0.99495E+00
-0.19000E+01  0.99492E+00
-0.20000E+01  0.99490E+00
-0.21000E+01  0.99488E+00
-0.22000E+01  0.99486E+00
-0.23000E+01  0.99485E+00
-0.24000E+01  0.99484E+00
-0.25000E+01  0.99483E+00
-0.26000E+01  0.99483E+00
-0.27000E+01  0.99482E+00
-0.28000E+01  0.99482E+00
-0.29000E+01  0.99482E+00
-0.30000E+01  0.99481E+00
-0.31000E+01  0.99481E+00
-0.32000E+01  0.99481E+00
-0.33000E+01  0.99481E+00
-0.34000E+01  0.99481E+00
-0.35000E+01  0.99481E+00
-0.36000E+01  0.99481E+00
-0.37000E+01  0.99481E+00
-0.38000E+01  0.99481E+00
-0.39000E+01  0.99481E+00
-0.40000E+01  0.99481E+00
-0.41000E+01  0.99481E+00
-0.42000E+01  0.99481E+00
-0.43000E+01  0.99481E+00
-0.44000E+01  0.99480E+00
-0.45000E+01  0.99480E+00
-0.46000E+01  0.99480E+00
-0.47000E+01  0.99480E+00
-0.48000E+01  0.99480E+00
-0.49000E+01  0.99480E+00
-0.50000E+01  0.99480E+00
-0.51000E+01  0.99480E+00
-0.52000E+01  0.99480E+00
-0.53000E+01  0.99480E+00
-0.54000E+01  0.99480E+00
-0.55000E+01  0.99480E+00
-0.56000E+01  0.99480E+00
-0.57000E+01  0.99480E+00
-0.58000E+01  0.99480E+00
-0.59000E+01  0.99480E+00
-0.60000E+01  0.99480E+00
-0.61000E+01  0.99480E+00
-0.62000E+01  0.99480E+00
-0.63000E+01  0.99480E+00
-0.64000E+01  0.99480E+00
-0.65000E+01  0.99480E+00
-0.66000E+01  0.99480E+00
-0.67000E+01  0.99480E+00
-0.68000E+01  0.99480E+00
-0.69000E+01  0.99480E+00
-0.70000E+01  0.99480E+00
-0.71000E+01  0.99480E+00
-0.72000E+01  0.99480E+00
-0.73000E+01  0.99480E+00
-0.74000E+01  0.99480E+00
-0.75000E+01  0.99480E+00
-0.76000E+01  0.99480E+00
-0.77000E+01  0.99480E+00
-0.78000E+01  0.99480E+00
-0.79000E+01  0.99480E+00
-0.80000E+01  0.99480E+00
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.30606E+01
-0.10000E+00  0.30527E+01
-0.20000E+00  0.30369E+01
-0.30000E+00  0.30163E+01
-0.40000E+00  0.29857E+01
-0.50000E+00  0.29456E+01
-0.60000E+00  0.28971E+01
-0.70000E+00  0.28396E+01
-0.80000E+00  0.27735E+01
-0.90000E+00  0.26988E+01
-0.10000E+01  0.26165E+01
-0.11000E+01  0.25266E+01
-0.12000E+01  0.24301E+01
-0.13000E+01  0.23274E+01
-0.14000E+01  0.22195E+01
-0.15000E+01  0.21071E+01
-0.16000E+01  0.19903E+01
-0.17000E+01  0.18710E+01
-0.18000E+01  0.17487E+01
-0.19000E+01  0.16252E+01
-0.20000E+01  0.15009E+01
-0.21000E+01  0.13763E+01
-0.22000E+01  0.12528E+01
-0.23000E+01  0.11307E+01
-0.24000E+01  0.10110E+01
-0.25000E+01  0.89420E+00
-0.26000E+01  0.78106E+00
-0.27000E+01  0.67375E+00
-0.28000E+01  0.57112E+00
-0.29000E+01  0.47460E+00
-0.30000E+01  0.38551E+00
-0.31000E+01  0.30394E+00
-0.32000E+01  0.22934E+00
-0.33000E+01  0.16682E+00
-0.34000E+01  0.11377E+00
-0.35000E+01  0.69020E-01
-0.36000E+01  0.41087E-01
-0.37000E+01  0.26111E-01
-0.38000E+01  0.21374E-01
-0.39000E+01  0.13404E-01
-0.40000E+01  0.67750E-02
-0.41000E+01  0.71156E-02
-0.42000E+01  0.49396E-02
-0.43000E+01  0.10908E-01
-0.44000E+01  0.64028E-02
-0.45000E+01  0.26827E-02
-0.46000E+01  0.34890E-02
-0.47000E+01  0.15533E-02
-0.48000E+01  0.24011E-02
-0.49000E+01  0.40084E-02
-0.50000E+01  0.40323E-02
-0.51000E+01  0.66646E-02
-0.52000E+01  0.79570E-02
-0.53000E+01  0.53510E-02
-0.54000E+01  0.30772E-02
-0.55000E+01  0.47061E-02
-0.56000E+01  0.59281E-02
-0.57000E+01  0.72456E-02
-0.58000E+01  0.95433E-02
-0.59000E+01  0.91132E-02
-0.60000E+01  0.88356E-02
-0.61000E+01  0.74506E-02
-0.62000E+01  0.73660E-02
-0.63000E+01  0.51479E-02
-0.64000E+01  0.76732E-02
-0.65000E+01  0.70678E-02
-0.66000E+01 -0.10094E-03
-0.67000E+01  0.23280E-02
-0.68000E+01  0.15227E-02
-0.69000E+01  0.34419E-02
-0.70000E+01  0.28803E-02
-0.71000E+01  0.67848E-02
-0.72000E+01  0.65431E-02
-0.73000E+01  0.76440E-03
-0.74000E+01  0.58580E-02
-0.75000E+01  0.83219E-03
-0.76000E+01  0.23054E-02
-0.77000E+01  0.68988E-02
-0.78000E+01  0.86802E-02
-0.79000E+01  0.54955E-02
-0.80000E+01  0.75409E-02
 zone T = "Var            2 : IMEX",
 0.00000E+00  0.10112E+01
-0.10000E+00  0.10062E+01
-0.20000E+00  0.10031E+01
-0.30000E+00  0.10010E+01
-0.40000E+00  0.99957E+00
-0.50000E+00  0.99852E+00
-0.60000E+00  0.99772E+00
-0.70000E+00  0.99711E+00
-0.80000E+00  0.99663E+00
-0.90000E+00  0.99626E+00
-0.10000E+01  0.99596E+00
-0.11000E+01  0.99572E+00
-0.12000E+01  0.99554E+00
-0.13000E+01  0.99539E+00
-0.14000E+01  0.99527E+00
-0.15000E+01  0.99517E+00
-0.16000E+01  0.99510E+00
-0.17000E+01  0.99504E+00
-0.18000E+01  0.99499E+00
-0.19000E+01  0.99495E+00
-0.20000E+01  0.99492E+00
-0.21000E+01  0.99490E+00
-0.22000E+01  0.99488E+00
-0.23000E+01  0.99486E+00
-0.24000E+01  0.99485E+00
-0.25000E+01  0.99484E+00
-0.26000E+01  0.99483E+00
-0.27000E+01  0.99483E+00
-0.28000E+01  0.99482E+00
-0.29000E+01  0.99482E+00
-0.30000E+01  0.99482E+00
-0.31000E+01  0.99481E+00
-0.32000E+01  0.99481E+00
-0.33000E+01  0.99481E+00
-0.34000E+01  0.99481E+00
-0.35000E+01  0.99481E+00
-0.36000E+01  0.99481E+00
-0.37000E+01  0.99481E+00
-0.38000E+01  0.99481E+00
-0.39000E+01  0.99481E+00
-0.40000E+01  0.99481E+00
-0.41000E+01  0.99481E+00
-0.42000E+01  0.99481E+00
-0.43000E+01  0.99481E+00
-0.44000E+01  0.99481E+00
-0.45000E+01  0.99480E+00
-0.46000E+01  0.99480E+00
-0.47000E+01  0.99480E+00
-0.48000E+01  0.99480E+00
-0.49000E+01  0.99480E+00
-0.50000E+01  0.99480E+00
-0.51000E+01  0.99480E+00
-0.52000E+01  0.99480E+00
-0.53000E+01  0.99480E+00
-0.54000E+01  0.99480E+00
-0.55000E+01  0.99480E+00
-0.56000E+01  0.99480E+00
-0.57000E+01  0.99480E+00
-0.58000E+01  0.99480E+00
-0.59000E+01  0.99480E+00
-0.60000E+01  0.99480E+00
-0.61000E+01  0.99480E+00
-0.62000E+01  0.99480E+00
-0.63000E+01  0.99480E+00
-0.64000E+01  0.99480E+00
-0.65000E+01  0.99480E+00
-0.66000E+01  0.99480E+00
-0.67000E+01  0.99480E+00
-0.68000E+01  0.99480E+00
-0.69000E+01  0.99480E+00
-0.70000E+01  0.99480E+00
-0.71000E+01  0.99480E+00
-0.72000E+01  0.99480E+00
-0.73000E+01  0.99480E+00
-0.74000E+01  0.99480E+00
-0.75000E+01  0.99480E+00
-0.76000E+01  0.99480E+00
-0.77000E+01  0.99480E+00
-0.78000E+01  0.99480E+00
-0.79000E+01  0.99480E+00
-0.80000E+01  0.99480E+00
 zone T = "Var            2 : Predicted",
 0.00000E+00  0.30427E+01
-0.10000E+00  0.30550E+01
-0.20000E+00  0.30417E+01
-0.30000E+00  0.30086E+01
-0.40000E+00  0.29588E+01
-0.50000E+00  0.28990E+01
-0.60000E+00  0.28315E+01
-0.70000E+00  0.27566E+01
-0.80000E+00  0.26747E+01
-0.90000E+00  0.25860E+01
-0.10000E+01  0.24911E+01
-0.11000E+01  0.23902E+01
-0.12000E+01  0.22841E+01
-0.13000E+01  0.21732E+01
-0.14000E+01  0.20582E+01
-0.15000E+01  0.19399E+01
-0.16000E+01  0.18187E+01
-0.17000E+01  0.16958E+01
-0.18000E+01  0.15715E+01
-0.19000E+01  0.14470E+01
-0.20000E+01  0.13226E+01
-0.21000E+01  0.11995E+01
-0.22000E+01  0.10783E+01
-0.23000E+01  0.95978E+00
-0.24000E+01  0.84486E+00
-0.25000E+01  0.73413E+00
-0.26000E+01  0.62836E+00
-0.27000E+01  0.52901E+00
-0.28000E+01  0.43594E+00
-0.29000E+01  0.35009E+00
-0.30000E+01  0.27257E+00
-0.31000E+01  0.20372E+00
-0.32000E+01  0.14385E+00
-0.33000E+01  0.95582E-01
-0.34000E+01  0.56899E-01
-0.35000E+01  0.30153E-01
-0.36000E+01  0.18484E-01
-0.37000E+01  0.10965E-01
-0.38000E+01  0.88701E-02
-0.39000E+01  0.63811E-02
-0.40000E+01  0.27780E-02
-0.41000E+01  0.15832E-02
-0.42000E+01  0.28156E-02
-0.43000E+01  0.23547E-02
-0.44000E+01  0.29118E-02
-0.45000E+01  0.58186E-03
-0.46000E+01  0.19438E-02
-0.47000E+01  0.91999E-03
-0.48000E+01  0.72954E-03
-0.49000E+01  0.12172E-02
-0.50000E+01  0.19979E-02
-0.51000E+01  0.37157E-02
-0.52000E+01  0.22241E-02
-0.53000E+01  0.24862E-02
-0.54000E+01  0.18215E-02
-0.55000E+01  0.20867E-02
-0.56000E+01  0.17657E-02
-0.57000E+01  0.27748E-02
-0.58000E+01  0.47137E-02
-0.59000E+01  0.28877E-02
-0.60000E+01  0.17015E-02
-0.61000E+01  0.31937E-02
-0.62000E+01  0.32625E-02
-0.63000E+01  0.12104E-02
-0.64000E+01  0.28880E-02
-0.65000E+01  0.21592E-03
-0.66000E+01 -0.10291E-02
-0.67000E+01  0.59815E-03
-0.68000E+01  0.15347E-02
-0.69000E+01  0.17248E-02
-0.70000E+01  0.15647E-02
-0.71000E+01  0.35174E-02
