 zone T = "Var            1 : IMEX",
 0.00000E+00  0.40307E+01
-0.10000E+00  0.40261E+01
-0.20000E+00  0.40201E+01
-0.30000E+00  0.40241E+01
-0.40000E+00  0.40158E+01
-0.50000E+00  0.40071E+01
-0.60000E+00  0.40141E+01
-0.70000E+00  0.40515E+01
-0.80000E+00  0.42951E+01
-0.90000E+00  0.36109E+01
-0.10000E+01  0.36754E+01
-0.11000E+01  0.37232E+01
-0.12000E+01  0.37019E+01
-0.13000E+01  0.36705E+01
-0.14000E+01  0.36342E+01
-0.15000E+01  0.35991E+01
-0.16000E+01  0.35666E+01
-0.17000E+01  0.35317E+01
-0.18000E+01  0.34917E+01
-0.19000E+01  0.34506E+01
-0.20000E+01  0.34066E+01
-0.21000E+01  0.33566E+01
-0.22000E+01  0.32994E+01
-0.23000E+01  0.32385E+01
-0.24000E+01  0.31767E+01
-0.25000E+01  0.31154E+01
-0.26000E+01  0.30544E+01
-0.27000E+01  0.29947E+01
-0.28000E+01  0.29375E+01
-0.29000E+01  0.28807E+01
-0.30000E+01  0.28289E+01
-0.31000E+01  0.27797E+01
-0.32000E+01  0.27323E+01
-0.33000E+01  0.26866E+01
-0.34000E+01  0.26425E+01
-0.35000E+01  0.25794E+01
-0.36000E+01  0.25369E+01
-0.37000E+01  0.24960E+01
-0.38000E+01  0.24382E+01
-0.39000E+01  0.23832E+01
-0.40000E+01  0.23304E+01
-0.41000E+01  0.22793E+01
-0.42000E+01  0.22302E+01
-0.43000E+01  0.21840E+01
-0.44000E+01  0.21411E+01
-0.45000E+01  0.21005E+01
-0.46000E+01  0.20623E+01
-0.47000E+01  0.20278E+01
-0.48000E+01  0.19991E+01
-0.49000E+01  0.19772E+01
-0.50000E+01  0.19620E+01
-0.51000E+01  0.19519E+01
-0.52000E+01  0.19443E+01
-0.53000E+01  0.19372E+01
-0.54000E+01  0.19299E+01
-0.55000E+01  0.19226E+01
-0.56000E+01  0.19163E+01
-0.57000E+01  0.19118E+01
-0.58000E+01  0.19090E+01
-0.59000E+01  0.19075E+01
-0.60000E+01  0.19071E+01
-0.61000E+01  0.19076E+01
-0.62000E+01  0.19086E+01
-0.63000E+01  0.19102E+01
-0.64000E+01  0.19122E+01
-0.65000E+01  0.19145E+01
-0.66000E+01  0.19170E+01
-0.67000E+01  0.19197E+01
-0.68000E+01  0.19226E+01
-0.69000E+01  0.19257E+01
-0.70000E+01  0.19288E+01
-0.71000E+01  0.19319E+01
-0.72000E+01  0.19350E+01
-0.73000E+01  0.19382E+01
-0.74000E+01  0.19412E+01
-0.75000E+01  0.19443E+01
-0.76000E+01  0.19471E+01
-0.77000E+01  0.19499E+01
-0.78000E+01  0.19526E+01
-0.79000E+01  0.19550E+01
-0.80000E+01  0.19574E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.11740E+01
-0.10000E+00  0.11861E+01
-0.20000E+00  0.12012E+01
-0.30000E+00  0.12229E+01
-0.40000E+00  0.12451E+01
-0.50000E+00  0.12707E+01
-0.60000E+00  0.13038E+01
-0.70000E+00  0.13395E+01
-0.80000E+00  0.13961E+01
-0.90000E+00  0.13998E+01
-0.10000E+01  0.14127E+01
