 zone T = "Var            1 : IMEX",
 0.00000E+00  0.12382-311
 0.00000E+00  0.12382-311
 0.00000E+00  0.18594-315
 0.00000E+00  0.18594-315
 0.00000E+00  0.12382-311
-0.50000E+00  0.33837E+01
-0.60000E+00  0.36177E+01
-0.70000E+00  0.36799E+01
-0.80000E+00  0.36957E+01
-0.90000E+00  0.36963E+01
-0.10000E+01  0.36994E+01
-0.11000E+01  0.36797E+01
-0.12000E+01  0.36478E+01
-0.13000E+01  0.36038E+01
-0.14000E+01  0.35471E+01
-0.15000E+01  0.34756E+01
-0.16000E+01  0.33832E+01
-0.17000E+01  0.32282E+01
-0.18000E+01  0.31991E+01
-0.19000E+01  0.31198E+01
-0.20000E+01  0.30022E+01
-0.21000E+01  0.28310E+01
-0.22000E+01  0.26835E+01
-0.23000E+01  0.26083E+01
-0.24000E+01  0.24863E+01
-0.25000E+01  0.24280E+01
-0.26000E+01  0.24149E+01
-0.27000E+01  0.23792E+01
-0.28000E+01  0.22969E+01
-0.29000E+01  0.21815E+01
-0.30000E+01  0.21273E+01
-0.31000E+01  0.20589E+01
-0.32000E+01  0.20682E+01
-0.33000E+01  0.20481E+01
-0.34000E+01  0.19999E+01
-0.35000E+01  0.19619E+01
-0.36000E+01  0.19184E+01
-0.37000E+01  0.18771E+01
-0.38000E+01  0.18882E+01
-0.39000E+01  0.18964E+01
-0.40000E+01  0.18978E+01
-0.41000E+01  0.19011E+01
-0.42000E+01  0.18936E+01
-0.43000E+01  0.19074E+01
-0.44000E+01  0.19149E+01
-0.45000E+01  0.36985E+01
-0.46000E+01  0.19799E+01
-0.47000E+01  0.20181E+01
-0.48000E+01  0.35604E+01
-0.49000E+01  0.21689E+01
-0.50000E+01  0.34679E+01
-0.51000E+01  0.23449E+01
-0.52000E+01  0.33375E+01
-0.53000E+01  0.33081E+01
-0.54000E+01  0.34498E+01
-0.55000E+01  0.32175E+01
-0.56000E+01  0.32902E+01
-0.57000E+01  0.31895E+01
-0.58000E+01  0.31436E+01
-0.59000E+01  0.31500E+01
