 zone T = "Var            1 : IMEX",
 0.00000E+00  0.12382-311
 0.00000E+00  0.12382-311
 0.00000E+00  0.42017-316
 0.00000E+00  0.42017-316
 0.00000E+00  0.27077E-05
-0.50000E+00  0.42957E+01
-0.60000E+00  0.43234E+01
-0.70000E+00  0.44100E+01
-0.80000E+00  0.47786E+01
-0.90000E+00  0.38942E+01
-0.10000E+01  0.37379E+01
-0.11000E+01  0.37705E+01
-0.12000E+01  0.38948E+01
-0.13000E+01  0.39088E+01
-0.14000E+01  0.38782E+01
-0.15000E+01  0.38198E+01
-0.16000E+01  0.37539E+01
-0.17000E+01  0.36478E+01
-0.18000E+01  0.35063E+01
-0.19000E+01  0.33339E+01
-0.20000E+01  0.32309E+01
-0.21000E+01  0.29088E+01
-0.22000E+01  0.29235E+01
-0.23000E+01  0.28165E+01
-0.24000E+01  0.28768E+01
-0.25000E+01  0.28221E+01
-0.26000E+01  0.27673E+01
-0.27000E+01  0.27380E+01
-0.28000E+01  0.27027E+01
-0.29000E+01  0.27008E+01
-0.30000E+01  0.26731E+01
-0.31000E+01  0.26405E+01
-0.32000E+01  0.26390E+01
-0.33000E+01  0.26173E+01
-0.34000E+01  0.32513E+01
-0.35000E+01  0.25669E+01
-0.36000E+01  0.25446E+01
-0.37000E+01  0.25144E+01
-0.38000E+01  0.25082E+01
-0.39000E+01  0.24614E+01
-0.40000E+01  0.26369E+01
-0.41000E+01  0.24051E+01
-0.42000E+01  0.24274E+01
-0.43000E+01  0.24069E+01
-0.44000E+01  0.24141E+01
-0.45000E+01  0.23456E+01
-0.46000E+01  0.23703E+01
-0.47000E+01  0.23911E+01
-0.48000E+01  0.23091E+01
-0.49000E+01  0.23312E+01
-0.50000E+01  0.23496E+01
-0.51000E+01  0.23457E+01
-0.52000E+01  0.24109E+01
-0.53000E+01  0.24719E+01
-0.54000E+01  0.25240E+01
-0.55000E+01  0.26075E+01
-0.56000E+01  0.26956E+01
-0.57000E+01  0.27735E+01
-0.58000E+01  0.28849E+01
-0.59000E+01  0.30072E+01
