 zone T = "Var            1 : IMEX",
 0.00000E+00  0.55585E+01
-0.10000E+00  0.41041E+01
-0.20000E+00  0.39991E+01
-0.30000E+00  0.39475E+01
-0.40000E+00  0.39082E+01
-0.50000E+00  0.38752E+01
-0.60000E+00  0.38423E+01
-0.70000E+00  0.38073E+01
-0.80000E+00  0.37706E+01
-0.90000E+00  0.37306E+01
-0.10000E+01  0.36859E+01
-0.11000E+01  0.36373E+01
-0.12000E+01  0.35842E+01
-0.13000E+01  0.35287E+01
-0.14000E+01  0.34677E+01
-0.15000E+01  0.34049E+01
-0.16000E+01  0.33394E+01
-0.17000E+01  0.32729E+01
-0.18000E+01  0.32051E+01
-0.19000E+01  0.31369E+01
-0.20000E+01  0.30687E+01
-0.21000E+01  0.30010E+01
-0.22000E+01  0.29349E+01
-0.23000E+01  0.28700E+01
-0.24000E+01  0.28072E+01
-0.25000E+01  0.27462E+01
-0.26000E+01  0.26874E+01
-0.27000E+01  0.26312E+01
-0.28000E+01  0.25777E+01
-0.29000E+01  0.25267E+01
-0.30000E+01  0.24784E+01
-0.31000E+01  0.24129E+01
-0.32000E+01  0.23502E+01
-0.33000E+01  0.22915E+01
-0.34000E+01  0.22368E+01
-0.35000E+01  0.21868E+01
-0.36000E+01  0.21418E+01
-0.37000E+01  0.21020E+01
-0.38000E+01  0.20677E+01
-0.39000E+01  0.20389E+01
-0.40000E+01  0.20156E+01
-0.41000E+01  0.19976E+01
-0.42000E+01  0.19845E+01
-0.43000E+01  0.19760E+01
-0.44000E+01  0.19714E+01
-0.45000E+01  0.19701E+01
-0.46000E+01  0.19715E+01
-0.47000E+01  0.19747E+01
-0.48000E+01  0.19793E+01
-0.49000E+01  0.19845E+01
-0.50000E+01  0.19900E+01
-0.51000E+01  0.19955E+01
-0.52000E+01  0.20007E+01
-0.53000E+01  0.20055E+01
-0.54000E+01  0.20097E+01
-0.55000E+01  0.20135E+01
-0.56000E+01  0.20167E+01
-0.57000E+01  0.20195E+01
-0.58000E+01  0.20218E+01
-0.59000E+01  0.20237E+01
-0.60000E+01  0.20253E+01
-0.61000E+01  0.20266E+01
-0.62000E+01  0.20276E+01
-0.63000E+01  0.20284E+01
-0.64000E+01  0.20291E+01
-0.65000E+01  0.20297E+01
-0.66000E+01  0.20301E+01
-0.67000E+01  0.20304E+01
-0.68000E+01  0.20307E+01
-0.69000E+01  0.20310E+01
-0.70000E+01  0.20311E+01
-0.71000E+01  0.20313E+01
-0.72000E+01  0.20314E+01
-0.73000E+01  0.20315E+01
-0.74000E+01  0.20315E+01
-0.75000E+01  0.20316E+01
-0.76000E+01  0.20316E+01
-0.77000E+01  0.20317E+01
-0.78000E+01  0.20317E+01
