 zone T = "Var            1 : IMEX",
 0.00000E+00  0.40286E+01
-0.10000E+00  0.40175E+01
-0.20000E+00  0.39978E+01
-0.30000E+00  0.39706E+01
-0.40000E+00  0.39296E+01
-0.50000E+00  0.38922E+01
-0.60000E+00  0.38925E+01
-0.70000E+00  0.38536E+01
-0.80000E+00  0.37677E+01
-0.90000E+00  0.37525E+01
-0.10000E+01  0.36756E+01
-0.11000E+01  0.36157E+01
-0.12000E+01  0.35359E+01
-0.13000E+01  0.34622E+01
-0.14000E+01  0.34007E+01
-0.15000E+01  0.33299E+01
-0.16000E+01  0.32180E+01
-0.17000E+01  0.31684E+01
-0.18000E+01  0.31322E+01
-0.19000E+01  0.30389E+01
-0.20000E+01  0.29676E+01
-0.21000E+01  0.29092E+01
-0.22000E+01  0.28538E+01
-0.23000E+01  0.27805E+01
-0.24000E+01  0.27083E+01
-0.25000E+01  0.26674E+01
-0.26000E+01  0.26421E+01
-0.27000E+01  0.25900E+01
-0.28000E+01  0.25560E+01
-0.29000E+01  0.25163E+01
-0.30000E+01  0.24656E+01
-0.31000E+01  0.23971E+01
-0.32000E+01  0.23286E+01
-0.33000E+01  0.22875E+01
-0.34000E+01  0.22472E+01
-0.35000E+01  0.22007E+01
-0.36000E+01  0.21806E+01
-0.37000E+01  0.22008E+01
-0.38000E+01  0.20989E+01
-0.39000E+01  0.20832E+01
-0.40000E+01  0.20608E+01
-0.41000E+01  0.20509E+01
-0.42000E+01  0.20537E+01
-0.43000E+01  0.20172E+01
-0.44000E+01  0.20129E+01
-0.45000E+01  0.19800E+01
-0.46000E+01  0.19971E+01
-0.47000E+01  0.20183E+01
-0.48000E+01  0.20049E+01
-0.49000E+01  0.19844E+01
-0.50000E+01  0.19643E+01
-0.51000E+01  0.19547E+01
-0.52000E+01  0.19820E+01
-0.53000E+01  0.19491E+01
-0.54000E+01  0.19350E+01
-0.55000E+01  0.19311E+01
-0.56000E+01  0.19323E+01
-0.57000E+01  0.19369E+01
-0.58000E+01  0.19428E+01
-0.59000E+01  0.19480E+01
-0.60000E+01  0.19520E+01
-0.61000E+01  0.19561E+01
-0.62000E+01  0.19610E+01
-0.63000E+01  0.19668E+01
-0.64000E+01  0.19733E+01
-0.65000E+01  0.19803E+01
-0.66000E+01  0.19876E+01
-0.67000E+01  0.19951E+01
-0.68000E+01  0.20025E+01
-0.69000E+01  0.20099E+01
-0.70000E+01  0.20172E+01
-0.71000E+01  0.20243E+01
-0.72000E+01  0.20311E+01
-0.73000E+01  0.20377E+01
-0.74000E+01  0.20440E+01
-0.75000E+01  0.20501E+01
-0.76000E+01  0.20559E+01
-0.77000E+01  0.20617E+01
-0.78000E+01  0.20678E+01
-0.79000E+01  0.21656E+01
-0.80000E+01  0.20761E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.10004E+01
-0.10000E+00  0.11373E+01
-0.20000E+00  0.12628E+01
-0.30000E+00  0.13743E+01
-0.40000E+00  0.14450E+01
-0.50000E+00  0.15302E+01
-0.60000E+00  0.16049E+01
-0.70000E+00  0.16700E+01
-0.80000E+00  0.17260E+01
-0.90000E+00  0.17734E+01
-0.10000E+01  0.18125E+01
-0.11000E+01  0.18438E+01
-0.12000E+01  0.18678E+01
-0.13000E+01  0.18809E+01
-0.14000E+01  0.18853E+01
-0.15000E+01  0.18827E+01
-0.16000E+01  0.18736E+01
-0.17000E+01  0.18587E+01
-0.18000E+01  0.18384E+01
-0.19000E+01  0.18132E+01
-0.20000E+01  0.17834E+01
-0.21000E+01  0.17493E+01
-0.22000E+01  0.17109E+01
-0.23000E+01  0.16678E+01
-0.24000E+01  0.16188E+01
-0.25000E+01  0.15600E+01
-0.26000E+01  0.14862E+01
-0.27000E+01  0.14343E+01
-0.28000E+01  0.13904E+01
-0.29000E+01  0.13516E+01
-0.30000E+01  0.13168E+01
-0.31000E+01  0.12851E+01
-0.32000E+01  0.12416E+01
-0.33000E+01  0.12027E+01
-0.34000E+01  0.11676E+01
-0.35000E+01  0.11361E+01
-0.36000E+01  0.11079E+01
-0.37000E+01  0.10830E+01
-0.38000E+01  0.10612E+01
-0.39000E+01  0.10426E+01
-0.40000E+01  0.10271E+01
-0.41000E+01  0.10146E+01
-0.42000E+01  0.10051E+01
-0.43000E+01  0.99839E+00
-0.44000E+01  0.99409E+00
-0.45000E+01  0.99186E+00
-0.46000E+01  0.99125E+00
-0.47000E+01  0.99181E+00
-0.48000E+01  0.99313E+00
-0.49000E+01  0.99485E+00
-0.50000E+01  0.99672E+00
-0.51000E+01  0.99856E+00
-0.52000E+01  0.10003E+01
-0.53000E+01  0.10018E+01
-0.54000E+01  0.10031E+01
-0.55000E+01  0.10043E+01
-0.56000E+01  0.10052E+01
-0.57000E+01  0.10060E+01
-0.58000E+01  0.10066E+01
-0.59000E+01  0.10071E+01
