 zone T = "Var            1 : IMEX",
 0.00000E+00  0.39685E+01
-0.10000E+00  0.39852E+01
-0.20000E+00  0.39974E+01
-0.30000E+00  0.39268E+01
-0.40000E+00  0.39621E+01
-0.50000E+00  0.39067E+01
-0.60000E+00  0.41495E+01
-0.70000E+00  0.39671E+01
-0.80000E+00  0.39251E+01
-0.90000E+00  0.38900E+01
-0.10000E+01  0.38551E+01
-0.11000E+01  0.38162E+01
-0.12000E+01  0.37704E+01
-0.13000E+01  0.37055E+01
-0.14000E+01  0.36240E+01
-0.15000E+01  0.35118E+01
-0.16000E+01  0.34505E+01
-0.17000E+01  0.34361E+01
-0.18000E+01  0.33461E+01
-0.19000E+01  0.32977E+01
-0.20000E+01  0.31922E+01
-0.21000E+01  0.31846E+01
-0.22000E+01  0.31446E+01
-0.23000E+01  0.30853E+01
-0.24000E+01  0.30384E+01
-0.25000E+01  0.29466E+01
-0.26000E+01  0.29148E+01
-0.27000E+01  0.29154E+01
-0.28000E+01  0.28773E+01
-0.29000E+01  0.28291E+01
-0.30000E+01  0.28202E+01
-0.31000E+01  0.28069E+01
-0.32000E+01  0.27789E+01
-0.33000E+01  0.27562E+01
-0.34000E+01  0.27508E+01
-0.35000E+01  0.27560E+01
-0.36000E+01  0.27628E+01
-0.37000E+01  0.27805E+01
-0.38000E+01  0.28005E+01
-0.39000E+01  0.28318E+01
-0.40000E+01  0.28705E+01
-0.41000E+01  0.29166E+01
-0.42000E+01  0.29685E+01
-0.43000E+01  0.42117E+01
-0.44000E+01  0.31229E+01
-0.45000E+01  0.31851E+01
-0.46000E+01  0.33953E+01
-0.47000E+01  0.41243E+01
-0.48000E+01  0.43113E+01
-0.49000E+01  0.39797E+01
-0.50000E+01  0.40360E+01
-0.51000E+01  0.40795E+01
-0.52000E+01  0.41893E+01
-0.53000E+01  0.41881E+01
-0.54000E+01  0.42315E+01
-0.55000E+01  0.41543E+01
-0.56000E+01  0.41338E+01
-0.57000E+01  0.41223E+01
-0.58000E+01  0.40892E+01
-0.59000E+01  0.40878E+01
-0.60000E+01  0.40875E+01
-0.61000E+01  0.40875E+01
-0.62000E+01  0.40880E+01
-0.63000E+01  0.40883E+01
-0.64000E+01  0.40891E+01
-0.65000E+01  0.40896E+01
-0.66000E+01  0.40897E+01
-0.67000E+01  0.40897E+01
-0.68000E+01  0.40901E+01
-0.69000E+01  0.40902E+01
-0.70000E+01  0.40909E+01
-0.71000E+01  0.40910E+01
-0.72000E+01  0.40911E+01
-0.73000E+01  0.40915E+01
-0.74000E+01  0.40914E+01
-0.75000E+01  0.40911E+01
-0.76000E+01  0.40916E+01
-0.77000E+01  0.40916E+01
-0.78000E+01  0.40915E+01
-0.79000E+01  0.40914E+01
-0.80000E+01  0.40914E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.84038E+00
-0.10000E+00  0.79775E+00
-0.20000E+00  0.77836E+00
-0.30000E+00  0.75947E+00
-0.40000E+00  0.82383E+00
-0.50000E+00  0.88330E+00
-0.60000E+00  0.94495E+00
-0.70000E+00  0.95869E+00
-0.80000E+00  0.96983E+00
-0.90000E+00  0.97489E+00
-0.10000E+01  0.97402E+00
-0.11000E+01  0.97922E+00
-0.12000E+01  0.10101E+01
-0.13000E+01  0.10662E+01
-0.14000E+01  0.11136E+01
-0.15000E+01  0.11546E+01
-0.16000E+01  0.11977E+01
-0.17000E+01  0.12272E+01
-0.18000E+01  0.12603E+01
-0.19000E+01  0.12789E+01
-0.20000E+01  0.13026E+01
-0.21000E+01  0.13122E+01
-0.22000E+01  0.13282E+01
-0.23000E+01  0.13312E+01
-0.24000E+01  0.13415E+01
-0.25000E+01  0.13399E+01
-0.26000E+01  0.13461E+01
-0.27000E+01  0.13417E+01
-0.28000E+01  0.13452E+01
-0.29000E+01  0.13390E+01
-0.30000E+01  0.13409E+01
-0.31000E+01  0.13338E+01
-0.32000E+01  0.13346E+01
-0.33000E+01  0.13350E+01
-0.34000E+01  0.13274E+01
-0.35000E+01  0.13274E+01
-0.36000E+01  0.13273E+01
-0.37000E+01  0.13197E+01
-0.38000E+01  0.13194E+01
-0.39000E+01  0.13191E+01
-0.40000E+01  0.13188E+01
-0.41000E+01  0.13185E+01
-0.42000E+01  0.13182E+01
-0.43000E+01  0.15406E+01
-0.44000E+01  0.13248E+01
-0.45000E+01  0.13246E+01
-0.46000E+01  0.13470E+01
-0.47000E+01  0.14914E+01
-0.48000E+01  0.15651E+01
-0.49000E+01  0.14265E+01
-0.50000E+01  0.14470E+01
-0.51000E+01  0.14469E+01
-0.52000E+01  0.15268E+01
-0.53000E+01  0.15027E+01
-0.54000E+01  0.14795E+01
-0.55000E+01  0.14795E+01
-0.56000E+01  0.14795E+01
-0.57000E+01  0.14795E+01
-0.58000E+01  0.14574E+01
-0.59000E+01  0.14574E+01
-0.60000E+01  0.14574E+01
-0.61000E+01  0.14574E+01
-0.62000E+01  0.14574E+01
-0.63000E+01  0.14574E+01
-0.64000E+01  0.14574E+01
-0.65000E+01  0.14574E+01
-0.66000E+01  0.14574E+01
-0.67000E+01  0.14574E+01
-0.68000E+01  0.14574E+01
-0.69000E+01  0.14574E+01
-0.70000E+01  0.14574E+01
-0.71000E+01  0.14574E+01
-0.72000E+01  0.14574E+01
-0.73000E+01  0.14574E+01
-0.74000E+01  0.14574E+01
-0.75000E+01  0.14574E+01
-0.76000E+01  0.14574E+01
-0.77000E+01  0.14574E+01
-0.78000E+01  0.14574E+01
-0.79000E+01  0.14574E+01
-0.80000E+01  0.14574E+01
 zone T = "Var            2 : IMEX",
 0.00000E+00  0.37703E+01
-0.10000E+00  0.39457E+01
-0.20000E+00  0.40148E+01
-0.30000E+00  0.41040E+01
-0.40000E+00  0.53914E+01
-0.50000E+00  0.47332E+01
-0.60000E+00  0.40592E+01
-0.70000E+00  0.39544E+01
-0.80000E+00  0.39054E+01
-0.90000E+00  0.38667E+01
-0.10000E+01  0.38311E+01
-0.11000E+01  0.37969E+01
-0.12000E+01  0.37622E+01
-0.13000E+01  0.37266E+01
-0.14000E+01  0.36871E+01
-0.15000E+01  0.36420E+01
-0.16000E+01  0.35900E+01
-0.17000E+01  0.35452E+01
-0.18000E+01  0.35029E+01
-0.19000E+01  0.34557E+01
-0.20000E+01  0.34067E+01
-0.21000E+01  0.33595E+01
-0.22000E+01  0.33090E+01
-0.23000E+01  0.32605E+01
-0.24000E+01  0.32100E+01
-0.25000E+01  0.31558E+01
-0.26000E+01  0.31046E+01
-0.27000E+01  0.30529E+01
-0.28000E+01  0.29982E+01
-0.29000E+01  0.29542E+01
-0.30000E+01  0.28837E+01
-0.31000E+01  0.28483E+01
-0.32000E+01  0.27789E+01
-0.33000E+01  0.27097E+01
-0.34000E+01  0.26413E+01
-0.35000E+01  0.25749E+01
-0.36000E+01  0.25111E+01
-0.37000E+01  0.24495E+01
-0.38000E+01  0.23893E+01
-0.39000E+01  0.23302E+01
-0.40000E+01  0.22718E+01
-0.41000E+01  0.22132E+01
-0.42000E+01  0.21471E+01
-0.43000E+01  0.21116E+01
-0.44000E+01  0.20730E+01
-0.45000E+01  0.20305E+01
-0.46000E+01  0.19739E+01
-0.47000E+01  0.19565E+01
-0.48000E+01  0.19305E+01
-0.49000E+01  0.19053E+01
-0.50000E+01  0.18831E+01
-0.51000E+01  0.18653E+01
-0.52000E+01  0.18526E+01
-0.53000E+01  0.18447E+01
-0.54000E+01  0.18406E+01
-0.55000E+01  0.18395E+01
-0.56000E+01  0.18406E+01
-0.57000E+01  0.18433E+01
-0.58000E+01  0.18472E+01
-0.59000E+01  0.18517E+01
-0.60000E+01  0.18567E+01
-0.61000E+01  0.18619E+01
-0.62000E+01  0.18671E+01
-0.63000E+01  0.18722E+01
-0.64000E+01  0.18770E+01
-0.65000E+01  0.18816E+01
-0.66000E+01  0.18859E+01
-0.67000E+01  0.18898E+01
-0.68000E+01  0.18933E+01
-0.69000E+01  0.18965E+01
-0.70000E+01  0.18994E+01
-0.71000E+01  0.19019E+01
-0.72000E+01  0.19042E+01
-0.73000E+01  0.19062E+01
-0.74000E+01  0.19079E+01
-0.75000E+01  0.19094E+01
-0.76000E+01  0.19108E+01
-0.77000E+01  0.19119E+01
-0.78000E+01  0.19129E+01
-0.79000E+01  0.19138E+01
-0.80000E+01  0.19145E+01
 zone T = "Var            2 : Predicted",
 0.00000E+00  0.11909E+01
-0.10000E+00  0.11989E+01
-0.20000E+00  0.12197E+01
-0.30000E+00  0.12658E+01
-0.40000E+00  0.14907E+01
-0.50000E+00  0.14702E+01
-0.60000E+00  0.14591E+01
-0.70000E+00  0.14999E+01
-0.80000E+00  0.15356E+01
-0.90000E+00  0.15804E+01
-0.10000E+01  0.16155E+01
-0.11000E+01  0.16386E+01
-0.12000E+01  0.16459E+01
-0.13000E+01  0.16235E+01
-0.14000E+01  0.16268E+01
-0.15000E+01  0.16463E+01
-0.16000E+01  0.16730E+01
-0.17000E+01  0.17024E+01
-0.18000E+01  0.17321E+01
-0.19000E+01  0.17610E+01
-0.20000E+01  0.17883E+01
-0.21000E+01  0.18134E+01
-0.22000E+01  0.18366E+01
-0.23000E+01  0.18580E+01
-0.24000E+01  0.18775E+01
-0.25000E+01  0.18953E+01
-0.26000E+01  0.19114E+01
-0.27000E+01  0.19259E+01
-0.28000E+01  0.19390E+01
-0.29000E+01  0.19506E+01
-0.30000E+01  0.19635E+01
-0.31000E+01  0.19703E+01
-0.32000E+01  0.19803E+01
-0.33000E+01  0.19896E+01
-0.34000E+01  0.20003E+01
-0.35000E+01  0.20119E+01
-0.36000E+01  0.20241E+01
-0.37000E+01  0.20368E+01
-0.38000E+01  0.20497E+01
-0.39000E+01  0.20625E+01
-0.40000E+01  0.20751E+01
-0.41000E+01  0.20870E+01
-0.42000E+01  0.20981E+01
-0.43000E+01  0.21078E+01
-0.44000E+01  0.21157E+01
-0.45000E+01  0.21210E+01
-0.46000E+01  0.21227E+01
-0.47000E+01  0.21191E+01
-0.48000E+01  0.21075E+01
-0.49000E+01  0.20831E+01
-0.50000E+01  0.20607E+01
-0.51000E+01  0.20451E+01
-0.52000E+01  0.20340E+01
-0.53000E+01  0.20259E+01
-0.54000E+01  0.20200E+01
-0.55000E+01  0.20156E+01
-0.56000E+01  0.20124E+01
-0.57000E+01  0.20099E+01
-0.58000E+01  0.20081E+01
-0.59000E+01  0.20067E+01
-0.60000E+01  0.20056E+01
-0.61000E+01  0.20048E+01
-0.62000E+01  0.20041E+01
-0.63000E+01  0.20036E+01
-0.64000E+01  0.20032E+01
-0.65000E+01  0.20029E+01
-0.66000E+01  0.20027E+01
-0.67000E+01  0.20025E+01
-0.68000E+01  0.20023E+01
-0.69000E+01  0.20022E+01
-0.70000E+01  0.20021E+01
-0.71000E+01  0.20020E+01
-0.72000E+01  0.20020E+01
-0.73000E+01  0.20019E+01
-0.74000E+01  0.20019E+01
-0.75000E+01  0.20018E+01
-0.76000E+01  0.20018E+01
-0.77000E+01  0.20018E+01
-0.78000E+01  0.20018E+01
-0.79000E+01  0.20018E+01
-0.80000E+01  0.20018E+01
