 zone T = "Var            1 : IMEX",
 0.00000E+00  0.39952E+01
-0.10000E+00  0.21233E+01
-0.20000E+00  0.39035E+01
-0.30000E+00  0.21578E+01
-0.40000E+00  0.37777E+01
-0.50000E+00  0.21895E+01
-0.60000E+00  0.36312E+01
-0.70000E+00  0.35633E+01
-0.80000E+00  0.35179E+01
-0.90000E+00  0.21944E+01
-0.10000E+01  0.21807E+01
-0.11000E+01  0.32941E+01
-0.12000E+01  0.21675E+01
-0.13000E+01  0.32201E+01
-0.14000E+01  0.31102E+01
-0.15000E+01  0.21255E+01
-0.16000E+01  0.30334E+01
-0.17000E+01  0.21022E+01
-0.18000E+01  0.20686E+01
-0.19000E+01  0.20685E+01
-0.20000E+01  0.20388E+01
-0.21000E+01  0.20163E+01
-0.22000E+01  0.20118E+01
-0.23000E+01  0.28410E+01
-0.24000E+01  0.28410E+01
-0.25000E+01  0.28487E+01
-0.26000E+01  0.28637E+01
-0.27000E+01  0.19247E+01
-0.28000E+01  0.28905E+01
-0.29000E+01  0.19243E+01
-0.30000E+01  0.29727E+01
-0.31000E+01  0.30069E+01
-0.32000E+01  0.30771E+01
-0.33000E+01  0.18795E+01
-0.34000E+01  0.32323E+01
-0.35000E+01  0.33133E+01
-0.36000E+01  0.34012E+01
-0.37000E+01  0.34792E+01
-0.38000E+01  0.35665E+01
-0.39000E+01  0.37038E+01
-0.40000E+01  0.37481E+01
-0.41000E+01  0.38141E+01
-0.42000E+01  0.38952E+01
-0.43000E+01  0.39814E+01
-0.44000E+01  0.39893E+01
-0.45000E+01  0.40676E+01
-0.46000E+01  0.18166E+01
-0.47000E+01  0.41227E+01
-0.48000E+01  0.41188E+01
-0.49000E+01  0.18082E+01
-0.50000E+01  0.17973E+01
-0.51000E+01  0.41439E+01
-0.52000E+01  0.41925E+01
-0.53000E+01  0.42064E+01
-0.54000E+01  0.44621E+01
-0.55000E+01  0.17867E+01
-0.56000E+01  0.41902E+01
-0.57000E+01  0.41873E+01
-0.58000E+01  0.17952E+01
-0.59000E+01  0.41876E+01
-0.60000E+01  0.17935E+01
-0.61000E+01  0.17970E+01
-0.62000E+01  0.17964E+01
