 zone T = "Var            1 : IMEX",
 0.00000E+00  0.38774E+01
-0.10000E+00  0.38559E+01
-0.20000E+00  0.38198E+01
-0.30000E+00  0.37910E+01
-0.40000E+00  0.37590E+01
-0.50000E+00  0.37201E+01
-0.60000E+00  0.36833E+01
-0.70000E+00  0.36387E+01
-0.80000E+00  0.36052E+01
-0.90000E+00  0.35672E+01
-0.10000E+01  0.35228E+01
-0.11000E+01  0.34864E+01
-0.12000E+01  0.34447E+01
-0.13000E+01  0.34105E+01
-0.14000E+01  0.33701E+01
-0.15000E+01  0.33418E+01
-0.16000E+01  0.33156E+01
-0.17000E+01  0.32862E+01
-0.18000E+01  0.32643E+01
-0.19000E+01  0.32417E+01
-0.20000E+01  0.32282E+01
-0.21000E+01  0.32066E+01
-0.22000E+01  0.32045E+01
-0.23000E+01  0.32058E+01
-0.24000E+01  0.31920E+01
-0.25000E+01  0.31995E+01
-0.26000E+01  0.32120E+01
-0.27000E+01  0.32247E+01
-0.28000E+01  0.32491E+01
-0.29000E+01  0.32729E+01
-0.30000E+01  0.32707E+01
-0.31000E+01  0.34282E+01
-0.32000E+01  0.34578E+01
-0.33000E+01  0.35170E+01
-0.34000E+01  0.35458E+01
-0.35000E+01  0.35745E+01
-0.36000E+01  0.35989E+01
-0.37000E+01  0.37518E+01
-0.38000E+01  0.37754E+01
-0.39000E+01  0.38367E+01
-0.40000E+01  0.38522E+01
-0.41000E+01  0.38638E+01
-0.42000E+01  0.38714E+01
-0.43000E+01  0.38823E+01
-0.44000E+01  0.38890E+01
-0.45000E+01  0.38953E+01
-0.46000E+01  0.39007E+01
-0.47000E+01  0.39001E+01
-0.48000E+01  0.39047E+01
-0.49000E+01  0.39089E+01
-0.50000E+01  0.39088E+01
-0.51000E+01  0.39247E+01
-0.52000E+01  0.39258E+01
-0.53000E+01  0.39252E+01
-0.54000E+01  0.39283E+01
-0.55000E+01  0.39263E+01
-0.56000E+01  0.39283E+01
-0.57000E+01  0.39287E+01
-0.58000E+01  0.39291E+01
-0.59000E+01  0.39299E+01
-0.60000E+01  0.39293E+01
-0.61000E+01  0.39300E+01
-0.62000E+01  0.39301E+01
-0.63000E+01  0.39290E+01
-0.64000E+01  0.39289E+01
-0.65000E+01  0.39307E+01
-0.66000E+01  0.39298E+01
-0.67000E+01  0.39308E+01
-0.68000E+01  0.39298E+01
-0.69000E+01  0.39315E+01
-0.70000E+01  0.39311E+01
-0.71000E+01  0.39321E+01
-0.72000E+01  0.39307E+01
-0.73000E+01  0.39314E+01
-0.74000E+01  0.39296E+01
-0.75000E+01  0.39302E+01
-0.76000E+01  0.39290E+01
-0.77000E+01  0.39304E+01
-0.78000E+01  0.39312E+01
-0.79000E+01  0.39313E+01
-0.80000E+01  0.39291E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.13278E+01
-0.10000E+00  0.13266E+01
-0.20000E+00  0.13124E+01
-0.30000E+00  0.13094E+01
-0.40000E+00  0.13055E+01
-0.50000E+00  0.12902E+01
-0.60000E+00  0.12859E+01
-0.70000E+00  0.12709E+01
-0.80000E+00  0.12667E+01
-0.90000E+00  0.12629E+01
-0.10000E+01  0.12499E+01
-0.11000E+01  0.12470E+01
-0.12000E+01  0.12359E+01
-0.13000E+01  0.12342E+01
-0.14000E+01  0.12245E+01
-0.15000E+01  0.12234E+01
-0.16000E+01  0.12225E+01
-0.17000E+01  0.12139E+01
-0.18000E+01  0.12133E+01
-0.19000E+01  0.12054E+01
-0.20000E+01  0.12048E+01
-0.21000E+01  0.11975E+01
-0.22000E+01  0.11971E+01
-0.23000E+01  0.11967E+01
-0.24000E+01  0.11899E+01
-0.25000E+01  0.11897E+01
-0.26000E+01  0.11894E+01
-0.27000E+01  0.11892E+01
-0.28000E+01  0.11890E+01
-0.29000E+01  0.11888E+01
-0.30000E+01  0.11826E+01
-0.31000E+01  0.12086E+01
-0.32000E+01  0.12085E+01
-0.33000E+01  0.12158E+01
-0.34000E+01  0.12157E+01
-0.35000E+01  0.12156E+01
-0.36000E+01  0.12156E+01
-0.37000E+01  0.12492E+01
-0.38000E+01  0.12492E+01
-0.39000E+01  0.12689E+01
-0.40000E+01  0.12689E+01
-0.41000E+01  0.12689E+01
-0.42000E+01  0.12689E+01
-0.43000E+01  0.12688E+01
-0.44000E+01  0.12688E+01
-0.45000E+01  0.12688E+01
-0.46000E+01  0.12688E+01
-0.47000E+01  0.12688E+01
-0.48000E+01  0.12688E+01
-0.49000E+01  0.12688E+01
-0.50000E+01  0.12688E+01
-0.51000E+01  0.12795E+01
-0.52000E+01  0.12795E+01
-0.53000E+01  0.12795E+01
-0.54000E+01  0.12795E+01
-0.55000E+01  0.12795E+01
-0.56000E+01  0.12795E+01
-0.57000E+01  0.12795E+01
-0.58000E+01  0.12795E+01
