 zone T = "Var            1 : IMPLICIT",
 0.00000E+00  0.31105E+01
-0.10000E+00  0.30641E+01
-0.20000E+00  0.33468E+01
-0.30000E+00  0.30969E+01
-0.40000E+00  0.30722E+01
-0.50000E+00  0.30461E+01
-0.60000E+00  0.32181E+01
-0.70000E+00  0.31567E+01
-0.80000E+00  0.31403E+01
-0.90000E+00  0.30489E+01
-0.10000E+01  0.31537E+01
-0.11000E+01  0.31629E+01
-0.12000E+01  0.31018E+01
-0.13000E+01  0.31035E+01
-0.14000E+01  0.32715E+01
-0.15000E+01  0.34112E+01
-0.16000E+01  0.31428E+01
-0.17000E+01  0.32618E+01
-0.18000E+01  0.32071E+01
-0.19000E+01  0.31123E+01
-0.20000E+01  0.33468E+01
-0.21000E+01  0.31052E+01
-0.22000E+01  0.31805E+01
-0.23000E+01  0.31661E+01
-0.24000E+01  0.31161E+01
-0.25000E+01  0.31974E+01
-0.26000E+01  0.30838E+01
-0.27000E+01  0.32448E+01
-0.28000E+01  0.34112E+01
-0.29000E+01  0.32618E+01
-0.30000E+01  0.30785E+01
-0.31000E+01  0.31537E+01
-0.32000E+01  0.31330E+01
-0.33000E+01  0.32618E+01
-0.34000E+01  0.31052E+01
-0.35000E+01  0.31123E+01
-0.36000E+01  0.31661E+01
-0.37000E+01  0.30598E+01
-0.38000E+01  0.30759E+01
-0.39000E+01  0.30517E+01
-0.40000E+01  0.30838E+01
-0.41000E+01  0.31597E+01
-0.42000E+01  0.30865E+01
-0.43000E+01  0.31805E+01
-0.44000E+01  0.30865E+01
-0.45000E+01  0.32181E+01
-0.46000E+01  0.30498E+01
-0.47000E+01  0.32618E+01
-0.48000E+01  0.30598E+01
-0.49000E+01  0.32825E+01
-0.50000E+01  0.31730E+01
-0.51000E+01  0.31052E+01
-0.52000E+01  0.30479E+01
-0.53000E+01  0.30479E+01
-0.54000E+01  0.32618E+01
-0.55000E+01  0.31805E+01
-0.56000E+01  0.31597E+01
-0.57000E+01  0.32305E+01
-0.58000E+01  0.32618E+01
-0.59000E+01  0.31378E+01
-0.60000E+01  0.31597E+01
-0.61000E+01  0.31378E+01
-0.62000E+01  0.31242E+01
-0.63000E+01  0.30865E+01
-0.64000E+01  0.31087E+01
-0.65000E+01  0.30620E+01
-0.66000E+01  0.30687E+01
