 zone T = "Var            1 : IMPLICIT",
 0.00000E+00  0.37900E+01
-0.10000E+00  0.38846E+01
-0.20000E+00  0.39205E+01
-0.30000E+00  0.39285E+01
-0.40000E+00  0.39400E+01
-0.50000E+00  0.39491E+01
-0.60000E+00  0.39519E+01
-0.70000E+00  0.39579E+01
-0.80000E+00  0.39599E+01
-0.90000E+00  0.39626E+01
-0.10000E+01  0.39731E+01
-0.11000E+01  0.39807E+01
-0.12000E+01  0.39989E+01
-0.13000E+01  0.40181E+01
-0.14000E+01  0.40451E+01
-0.15000E+01  0.40931E+01
-0.16000E+01  0.41908E+01
-0.17000E+01  0.47352E+01
-0.18000E+01  0.39971E+01
-0.19000E+01  0.38555E+01
-0.20000E+01  0.38134E+01
-0.21000E+01  0.38644E+01
-0.22000E+01  0.39185E+01
-0.23000E+01  0.39337E+01
-0.24000E+01  0.39451E+01
-0.25000E+01  0.39524E+01
-0.26000E+01  0.39556E+01
-0.27000E+01  0.39524E+01
-0.28000E+01  0.39541E+01
-0.29000E+01  0.39589E+01
-0.30000E+01  0.39533E+01
-0.31000E+01  0.39554E+01
-0.32000E+01  0.39544E+01
-0.33000E+01  0.39577E+01
-0.34000E+01  0.39538E+01
-0.35000E+01  0.39530E+01
-0.36000E+01  0.39520E+01
-0.37000E+01  0.39600E+01
-0.38000E+01  0.39520E+01
-0.39000E+01  0.39568E+01
-0.40000E+01  0.39571E+01
-0.41000E+01  0.39566E+01
-0.42000E+01  0.39557E+01
-0.43000E+01  0.39596E+01
-0.44000E+01  0.39575E+01
-0.45000E+01  0.39549E+01
-0.46000E+01  0.39458E+01
-0.47000E+01  0.39551E+01
-0.48000E+01  0.39544E+01
-0.49000E+01  0.39573E+01
-0.50000E+01  0.39542E+01
-0.51000E+01  0.39580E+01
-0.52000E+01  0.39526E+01
-0.53000E+01  0.39514E+01
-0.54000E+01  0.39516E+01
-0.55000E+01  0.39563E+01
-0.56000E+01  0.39521E+01
-0.57000E+01  0.39597E+01
-0.58000E+01  0.39569E+01
-0.59000E+01  0.39528E+01
-0.60000E+01  0.39534E+01
-0.61000E+01  0.39552E+01
-0.62000E+01  0.39515E+01
-0.63000E+01  0.39563E+01
-0.64000E+01  0.39574E+01
-0.65000E+01  0.39615E+01
-0.66000E+01  0.39495E+01
-0.67000E+01  0.39617E+01
-0.68000E+01  0.39565E+01
-0.69000E+01  0.39616E+01
-0.70000E+01  0.39543E+01
-0.71000E+01  0.39509E+01
-0.72000E+01  0.39608E+01
-0.73000E+01  0.39577E+01
-0.74000E+01  0.39558E+01
-0.75000E+01  0.39549E+01
-0.76000E+01  0.39548E+01
-0.77000E+01  0.39599E+01
-0.78000E+01  0.39586E+01
-0.79000E+01  0.39542E+01
-0.80000E+01  0.39572E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.13023E+01
-0.10000E+00  0.12870E+01
-0.20000E+00  0.12854E+01
-0.30000E+00  0.12769E+01
-0.40000E+00  0.12746E+01
-0.50000E+00  0.12655E+01
-0.60000E+00  0.12623E+01
-0.70000E+00  0.12526E+01
-0.80000E+00  0.12486E+01
-0.90000E+00  0.12441E+01
-0.10000E+01  0.12452E+01
-0.11000E+01  0.12406E+01
-0.12000E+01  0.12366E+01
-0.13000E+01  0.12392E+01
-0.14000E+01  0.12492E+01
-0.15000E+01  0.12555E+01
-0.16000E+01  0.12770E+01
-0.17000E+01  0.13241E+01
-0.18000E+01  0.13016E+01
-0.19000E+01  0.12952E+01
-0.20000E+01  0.13034E+01
-0.21000E+01  0.13118E+01
-0.22000E+01  0.13127E+01
-0.23000E+01  0.13203E+01
-0.24000E+01  0.13274E+01
-0.25000E+01  0.13338E+01
-0.26000E+01  0.13393E+01
-0.27000E+01  0.13441E+01
-0.28000E+01  0.13482E+01
-0.29000E+01  0.13516E+01
-0.30000E+01  0.13545E+01
-0.31000E+01  0.13568E+01
-0.32000E+01  0.13587E+01
-0.33000E+01  0.13602E+01
-0.34000E+01  0.13615E+01
-0.35000E+01  0.13625E+01
-0.36000E+01  0.13633E+01
-0.37000E+01  0.13639E+01
-0.38000E+01  0.13644E+01
-0.39000E+01  0.13648E+01
-0.40000E+01  0.13651E+01
-0.41000E+01  0.13654E+01
-0.42000E+01  0.13656E+01
-0.43000E+01  0.13657E+01
-0.44000E+01  0.13659E+01
-0.45000E+01  0.13660E+01
-0.46000E+01  0.13576E+01
-0.47000E+01  0.13661E+01
-0.48000E+01  0.13662E+01
-0.49000E+01  0.13662E+01
-0.50000E+01  0.13662E+01
-0.51000E+01  0.13663E+01
-0.52000E+01  0.13663E+01
-0.53000E+01  0.13663E+01
-0.54000E+01  0.13663E+01
-0.55000E+01  0.13663E+01
-0.56000E+01  0.13663E+01
-0.57000E+01  0.13663E+01
-0.58000E+01  0.13663E+01
-0.59000E+01  0.13663E+01
-0.60000E+01  0.13663E+01
