 zone T = "Var            1 : IMPLICIT",
 0.00000E+00  0.55432E+01
-0.10000E+00  0.10355E+01
-0.20000E+00  0.10402E+01
-0.30000E+00  0.10398E+01
-0.40000E+00  0.10389E+01
-0.50000E+00  0.10529E+01
-0.60000E+00  0.10430E+01
-0.70000E+00  0.10371E+01
-0.80000E+00  0.10542E+01
-0.90000E+00  0.10551E+01
-0.10000E+01  0.10478E+01
-0.11000E+01  0.10534E+01
-0.12000E+01  0.10516E+01
-0.13000E+01  0.10541E+01
-0.14000E+01  0.10427E+01
-0.15000E+01  0.10495E+01
-0.16000E+01  0.10527E+01
-0.17000E+01  0.10566E+01
-0.18000E+01  0.10423E+01
-0.19000E+01  0.10568E+01
-0.20000E+01  0.10466E+01
-0.21000E+01  0.10428E+01
-0.22000E+01  0.10517E+01
-0.23000E+01  0.10562E+01
-0.24000E+01  0.10544E+01
-0.25000E+01  0.10543E+01
-0.26000E+01  0.10564E+01
-0.27000E+01  0.10378E+01
-0.28000E+01  0.10570E+01
-0.29000E+01  0.10559E+01
-0.30000E+01  0.10537E+01
-0.31000E+01  0.10512E+01
-0.32000E+01  0.10421E+01
-0.33000E+01  0.10490E+01
-0.34000E+01  0.10470E+01
-0.35000E+01  0.10507E+01
-0.36000E+01  0.10448E+01
-0.37000E+01  0.10443E+01
-0.38000E+01  0.10551E+01
-0.39000E+01  0.10532E+01
-0.40000E+01  0.10563E+01
-0.41000E+01  0.10526E+01
-0.42000E+01  0.10398E+01
-0.43000E+01  0.10518E+01
-0.44000E+01  0.10508E+01
-0.45000E+01  0.10547E+01
-0.46000E+01  0.10576E+01
-0.47000E+01  0.10416E+01
-0.48000E+01  0.10490E+01
-0.49000E+01  0.10555E+01
-0.50000E+01  0.10483E+01
-0.51000E+01  0.10526E+01
-0.52000E+01  0.10509E+01
-0.53000E+01  0.10443E+01
-0.54000E+01  0.10549E+01
-0.55000E+01  0.10425E+01
-0.56000E+01  0.10496E+01
-0.57000E+01  0.10497E+01
-0.58000E+01  0.10494E+01
-0.59000E+01  0.10523E+01
-0.60000E+01  0.10484E+01
-0.61000E+01  0.10508E+01
-0.62000E+01  0.10511E+01
-0.63000E+01  0.10453E+01
-0.64000E+01  0.10450E+01
-0.65000E+01  0.10524E+01
-0.66000E+01  0.10481E+01
-0.67000E+01  0.10527E+01
-0.68000E+01  0.10473E+01
-0.69000E+01  0.10557E+01
-0.70000E+01  0.10533E+01
-0.71000E+01  0.10579E+01
-0.72000E+01  0.10514E+01
-0.73000E+01  0.10548E+01
-0.74000E+01  0.10468E+01
-0.75000E+01  0.10485E+01
-0.76000E+01  0.10438E+01
-0.77000E+01  0.10497E+01
-0.78000E+01  0.10535E+01
-0.79000E+01  0.10538E+01
