 zone T = "Var            1 : IMPLICIT",
 0.00000E+00  0.42815E+01
-0.10000E+00  0.42061E+01
-0.20000E+00  0.41907E+01
-0.30000E+00  0.41969E+01
-0.40000E+00  0.42072E+01
-0.50000E+00  0.17671E+01
-0.60000E+00  0.42020E+01
-0.70000E+00  0.42474E+01
-0.80000E+00  0.17632E+01
-0.90000E+00  0.17630E+01
-0.10000E+01  0.42038E+01
-0.11000E+01  0.17591E+01
-0.12000E+01  0.41907E+01
-0.13000E+01  0.17595E+01
-0.14000E+01  0.42397E+01
-0.15000E+01  0.42000E+01
-0.16000E+01  0.17586E+01
-0.17000E+01  0.17648E+01
-0.18000E+01  0.42417E+01
-0.19000E+01  0.17651E+01
-0.20000E+01  0.42105E+01
-0.21000E+01  0.42365E+01
-0.22000E+01  0.41874E+01
-0.23000E+01  0.17645E+01
-0.24000E+01  0.17615E+01
-0.25000E+01  0.17612E+01
-0.26000E+01  0.17646E+01
-0.27000E+01  0.43718E+01
-0.28000E+01  0.17653E+01
-0.29000E+01  0.17637E+01
-0.30000E+01  0.17615E+01
-0.31000E+01  0.41881E+01
-0.32000E+01  0.42460E+01
-0.33000E+01  0.41975E+01
-0.34000E+01  0.42093E+01
-0.35000E+01  0.41909E+01
-0.36000E+01  0.42190E+01
-0.37000E+01  0.42232E+01
-0.38000E+01  0.17630E+01
-0.39000E+01  0.17601E+01
-0.40000E+01  0.17644E+01
-0.41000E+01  0.17591E+01
-0.42000E+01  0.42615E+01
-0.43000E+01  0.41867E+01
-0.44000E+01  0.41888E+01
-0.45000E+01  0.17622E+01
-0.46000E+01  0.17669E+01
-0.47000E+01  0.42452E+01
-0.48000E+01  0.42007E+01
-0.49000E+01  0.17634E+01
-0.50000E+01  0.42009E+01
-0.51000E+01  0.17593E+01
-0.52000E+01  0.41888E+01
-0.53000E+01  0.42244E+01
-0.54000E+01  0.17626E+01
-0.55000E+01  0.42391E+01
-0.56000E+01  0.41945E+01
-0.57000E+01  0.41944E+01
-0.58000E+01  0.41960E+01
-0.59000E+01  0.17591E+01
-0.60000E+01  0.42002E+01
-0.61000E+01  0.41892E+01
-0.62000E+01  0.41907E+01
-0.63000E+01  0.42176E+01
-0.64000E+01  0.42230E+01
-0.65000E+01  0.17594E+01
-0.66000E+01  0.42033E+01
-0.67000E+01  0.17588E+01
-0.68000E+01  0.42057E+01
-0.69000E+01  0.17625E+01
-0.70000E+01  0.17604E+01
-0.71000E+01  0.17661E+01
-0.72000E+01  0.41882E+01
