 zone T = "Var            1 : IMPLICIT",
 0.00000E+00  0.39130E+01
-0.10000E+00  0.39242E+01
-0.20000E+00  0.39439E+01
-0.30000E+00  0.39389E+01
-0.40000E+00  0.39480E+01
-0.50000E+00  0.39525E+01
-0.60000E+00  0.39555E+01
-0.70000E+00  0.39536E+01
-0.80000E+00  0.39563E+01
-0.90000E+00  0.39575E+01
-0.10000E+01  0.39698E+01
-0.11000E+01  0.39739E+01
-0.12000E+01  0.39890E+01
-0.13000E+01  0.40065E+01
-0.14000E+01  0.40317E+01
-0.15000E+01  0.40787E+01
-0.16000E+01  0.41600E+01
-0.17000E+01  0.46664E+01
-0.18000E+01  0.38647E+01
-0.19000E+01  0.38545E+01
-0.20000E+01  0.39080E+01
-0.21000E+01  0.38790E+01
-0.22000E+01  0.38964E+01
-0.23000E+01  0.39152E+01
-0.24000E+01  0.39265E+01
-0.25000E+01  0.39355E+01
-0.26000E+01  0.39421E+01
-0.27000E+01  0.39391E+01
-0.28000E+01  0.39419E+01
-0.29000E+01  0.39492E+01
-0.30000E+01  0.39422E+01
-0.31000E+01  0.39453E+01
-0.32000E+01  0.39450E+01
-0.33000E+01  0.39487E+01
-0.34000E+01  0.39438E+01
-0.35000E+01  0.39424E+01
-0.36000E+01  0.39412E+01
-0.37000E+01  0.39544E+01
-0.38000E+01  0.39417E+01
-0.39000E+01  0.39491E+01
-0.40000E+01  0.39485E+01
-0.41000E+01  0.39476E+01
-0.42000E+01  0.39474E+01
-0.43000E+01  0.39516E+01
-0.44000E+01  0.39509E+01
-0.45000E+01  0.39461E+01
-0.46000E+01  0.39373E+01
-0.47000E+01  0.39475E+01
-0.48000E+01  0.39440E+01
-0.49000E+01  0.39476E+01
-0.50000E+01  0.39444E+01
-0.51000E+01  0.39511E+01
-0.52000E+01  0.39433E+01
-0.53000E+01  0.39396E+01
-0.54000E+01  0.39408E+01
-0.55000E+01  0.39475E+01
-0.56000E+01  0.39414E+01
-0.57000E+01  0.39519E+01
-0.58000E+01  0.39490E+01
-0.59000E+01  0.39428E+01
-0.60000E+01  0.39452E+01
-0.61000E+01  0.39448E+01
-0.62000E+01  0.39410E+01
-0.63000E+01  0.39470E+01
-0.64000E+01  0.39499E+01
-0.65000E+01  0.39540E+01
-0.66000E+01  0.39376E+01
-0.67000E+01  0.39538E+01
-0.68000E+01  0.39478E+01
-0.69000E+01  0.39540E+01
-0.70000E+01  0.39449E+01
-0.71000E+01  0.39414E+01
-0.72000E+01  0.39536E+01
-0.73000E+01  0.39496E+01
-0.74000E+01  0.39474E+01
-0.75000E+01  0.39459E+01
-0.76000E+01  0.39462E+01
-0.77000E+01  0.39528E+01
-0.78000E+01  0.39521E+01
-0.79000E+01  0.39455E+01
-0.80000E+01  0.39493E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.92489E+00
-0.10000E+00  0.93031E+00
-0.20000E+00  0.93112E+00
-0.30000E+00  0.93627E+00
-0.40000E+00  0.93738E+00
-0.50000E+00  0.93872E+00
-0.60000E+00  0.94212E+00
-0.70000E+00  0.94390E+00
-0.80000E+00  0.94594E+00
-0.90000E+00  0.94819E+00
-0.10000E+01  0.95059E+00
-0.11000E+01  0.95300E+00
-0.12000E+01  0.95388E+00
-0.13000E+01  0.95446E+00
-0.14000E+01  0.95445E+00
-0.15000E+01  0.95208E+00
-0.16000E+01  0.94835E+00
-0.17000E+01  0.93478E+00
-0.18000E+01  0.94006E+00
-0.19000E+01  0.93830E+00
-0.20000E+01  0.93618E+00
-0.21000E+01  0.93183E+00
-0.22000E+01  0.92751E+00
-0.23000E+01  0.92341E+00
-0.24000E+01  0.91965E+00
-0.25000E+01  0.91631E+00
-0.26000E+01  0.91341E+00
-0.27000E+01  0.91392E+00
-0.28000E+01  0.91192E+00
-0.29000E+01  0.91025E+00
-0.30000E+01  0.90887E+00
-0.31000E+01  0.90775E+00
-0.32000E+01  0.90684E+00
-0.33000E+01  0.90611E+00
-0.34000E+01  0.90552E+00
-0.35000E+01  0.90505E+00
-0.36000E+01  0.90467E+00
-0.37000E+01  0.90436E+00
