 zone T = "Var            1 : IMPLICIT",
 0.00000E+00  0.40576E+01
-0.10000E+00  0.40940E+01
-0.20000E+00  0.41016E+01
-0.30000E+00  0.45879E+01
-0.40000E+00  0.38020E+01
-0.50000E+00  0.38588E+01
-0.60000E+00  0.38684E+01
-0.70000E+00  0.38964E+01
-0.80000E+00  0.39052E+01
-0.90000E+00  0.38824E+01
-0.10000E+01  0.38945E+01
-0.11000E+01  0.38934E+01
-0.12000E+01  0.39038E+01
-0.13000E+01  0.39101E+01
-0.14000E+01  0.39072E+01
-0.15000E+01  0.39144E+01
-0.16000E+01  0.39060E+01
-0.17000E+01  0.39117E+01
-0.18000E+01  0.39144E+01
-0.19000E+01  0.39155E+01
-0.20000E+01  0.39245E+01
-0.21000E+01  0.39159E+01
-0.22000E+01  0.39134E+01
-0.23000E+01  0.39153E+01
-0.24000E+01  0.39133E+01
-0.25000E+01  0.39200E+01
-0.26000E+01  0.39182E+01
-0.27000E+01  0.39163E+01
-0.28000E+01  0.39181E+01
-0.29000E+01  0.39162E+01
-0.30000E+01  0.39170E+01
-0.31000E+01  0.39113E+01
-0.32000E+01  0.39153E+01
-0.33000E+01  0.39181E+01
-0.34000E+01  0.39136E+01
-0.35000E+01  0.39145E+01
-0.36000E+01  0.39203E+01
-0.37000E+01  0.39206E+01
-0.38000E+01  0.39160E+01
-0.39000E+01  0.39155E+01
-0.40000E+01  0.39212E+01
-0.41000E+01  0.39189E+01
-0.42000E+01  0.39183E+01
-0.43000E+01  0.39180E+01
-0.44000E+01  0.39127E+01
-0.45000E+01  0.39177E+01
-0.46000E+01  0.39164E+01
-0.47000E+01  0.39183E+01
-0.48000E+01  0.39194E+01
-0.49000E+01  0.39177E+01
-0.50000E+01  0.39202E+01
-0.51000E+01  0.39194E+01
-0.52000E+01  0.39165E+01
-0.53000E+01  0.39187E+01
-0.54000E+01  0.39142E+01
-0.55000E+01  0.39187E+01
-0.56000E+01  0.39173E+01
-0.57000E+01  0.39149E+01
-0.58000E+01  0.39211E+01
-0.59000E+01  0.39210E+01
-0.60000E+01  0.39151E+01
-0.61000E+01  0.39133E+01
-0.62000E+01  0.39147E+01
-0.63000E+01  0.39157E+01
-0.64000E+01  0.39159E+01
-0.65000E+01  0.39186E+01
-0.66000E+01  0.39134E+01
-0.67000E+01  0.39193E+01
-0.68000E+01  0.39223E+01
-0.69000E+01  0.39139E+01
