 zone T = "Var            1 : IMPLICIT",
 0.00000E+00  0.47827E+01
-0.10000E+00  0.40522E+01
-0.20000E+00  0.37493E+01
-0.30000E+00  0.35114E+01
-0.40000E+00  0.33118E+01
-0.50000E+00  0.31442E+01
-0.60000E+00  0.30069E+01
-0.70000E+00  0.29011E+01
-0.80000E+00  0.28325E+01
-0.90000E+00  0.28114E+01
-0.10000E+01  0.28498E+01
-0.11000E+01  0.29614E+01
-0.12000E+01  0.31626E+01
-0.13000E+01  0.34748E+01
-0.14000E+01  0.39247E+01
-0.15000E+01  0.45437E+01
-0.16000E+01  0.53623E+01
-0.17000E+01  0.63925E+01
-0.18000E+01  0.70133E+01
-0.19000E+01  0.68279E+01
-0.20000E+01  0.58808E+01
-0.21000E+01  0.50076E+01
-0.22000E+01  0.43075E+01
-0.23000E+01  0.37379E+01
-0.24000E+01  0.32255E+01
-0.25000E+01  0.27851E+01
-0.26000E+01  0.25036E+01
-0.27000E+01  0.24770E+01
-0.28000E+01  0.18222E+01
-0.29000E+01  0.14987E+01
-0.30000E+01  0.12737E+01
-0.31000E+01  0.11067E+01
-0.32000E+01  0.97866E+00
-0.33000E+01  0.87871E+00
-0.34000E+01  0.79990E+00
-0.35000E+01  0.73748E+00
-0.36000E+01  0.68795E+00
-0.37000E+01  0.64860E+00
-0.38000E+01  0.61731E+00
-0.39000E+01  0.59243E+00
-0.40000E+01  0.57264E+00
-0.41000E+01  0.55689E+00
-0.42000E+01  0.54437E+00
-0.43000E+01  0.53441E+00
-0.44000E+01  0.52649E+00
-0.45000E+01  0.52019E+00
-0.46000E+01  0.51518E+00
-0.47000E+01  0.51120E+00
-0.48000E+01  0.50804E+00
-0.49000E+01  0.50552E+00
-0.50000E+01  0.50353E+00
-0.51000E+01  0.50194E+00
-0.52000E+01  0.50068E+00
-0.53000E+01  0.49968E+00
-0.54000E+01  0.49888E+00
-0.55000E+01  0.49825E+00
-0.56000E+01  0.49775E+00
-0.57000E+01  0.49735E+00
-0.58000E+01  0.49703E+00
-0.59000E+01  0.49678E+00
-0.60000E+01  0.49658E+00
-0.61000E+01  0.49642E+00
-0.62000E+01  0.49629E+00
-0.63000E+01  0.49619E+00
-0.64000E+01  0.49611E+00
-0.65000E+01  0.49605E+00
-0.66000E+01  0.49600E+00
-0.67000E+01  0.49596E+00
-0.68000E+01  0.49593E+00
-0.69000E+01  0.49590E+00
-0.70000E+01  0.49588E+00
-0.71000E+01  0.49587E+00
-0.72000E+01  0.49585E+00
-0.73000E+01  0.49584E+00
-0.74000E+01  0.49584E+00
-0.75000E+01  0.49583E+00
-0.76000E+01  0.49582E+00
-0.77000E+01  0.49582E+00
-0.78000E+01  0.49582E+00
-0.79000E+01  0.49581E+00
-0.80000E+01  0.49581E+00
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.17938E+01
-0.10000E+00  0.16635E+01
