 zone T = "Var            1 : IMPLICIT",
 0.00000E+00  0.39977E+01
-0.10000E+00  0.39931E+01
-0.20000E+00  0.39871E+01
-0.30000E+00  0.39793E+01
-0.40000E+00  0.39692E+01
-0.50000E+00  0.39562E+01
-0.60000E+00  0.39529E+01
-0.70000E+00  0.39314E+01
-0.80000E+00  0.39048E+01
-0.90000E+00  0.38723E+01
-0.10000E+01  0.38337E+01
-0.11000E+01  0.38060E+01
-0.12000E+01  0.37565E+01
-0.13000E+01  0.37038E+01
-0.14000E+01  0.36674E+01
-0.15000E+01  0.36115E+01
-0.16000E+01  0.35555E+01
-0.17000E+01  0.35178E+01
-0.18000E+01  0.34540E+01
-0.19000E+01  0.33881E+01
-0.20000E+01  0.33400E+01
-0.21000E+01  0.32634E+01
-0.22000E+01  0.32050E+01
-0.23000E+01  0.31216E+01
-0.24000E+01  0.30419E+01
-0.25000E+01  0.29703E+01
-0.26000E+01  0.29404E+01
-0.27000E+01  0.28819E+01
-0.28000E+01  0.28327E+01
-0.29000E+01  0.27794E+01
-0.30000E+01  0.27489E+01
-0.31000E+01  0.27238E+01
-0.32000E+01  0.27054E+01
-0.33000E+01  0.26899E+01
-0.34000E+01  0.26720E+01
-0.35000E+01  0.26520E+01
-0.36000E+01  0.26004E+01
-0.37000E+01  0.25958E+01
-0.38000E+01  0.26078E+01
-0.39000E+01  0.26350E+01
-0.40000E+01  0.26753E+01
-0.41000E+01  0.27914E+01
-0.42000E+01  0.29157E+01
-0.43000E+01  0.30711E+01
-0.44000E+01  0.31509E+01
-0.45000E+01  0.33525E+01
-0.46000E+01  0.34335E+01
-0.47000E+01  0.35351E+01
-0.48000E+01  0.36020E+01
-0.49000E+01  0.36432E+01
-0.50000E+01  0.36948E+01
-0.51000E+01  0.37422E+01
-0.52000E+01  0.37855E+01
-0.53000E+01  0.38251E+01
-0.54000E+01  0.38610E+01
-0.55000E+01  0.38623E+01
-0.56000E+01  0.38881E+01
-0.57000E+01  0.39107E+01
-0.58000E+01  0.39308E+01
-0.59000E+01  0.39480E+01
-0.60000E+01  0.39637E+01
-0.61000E+01  0.39759E+01
-0.62000E+01  0.39869E+01
-0.63000E+01  0.39806E+01
-0.64000E+01  0.39863E+01
-0.65000E+01  0.39910E+01
-0.66000E+01  0.39968E+01
-0.67000E+01  0.40002E+01
-0.68000E+01  0.40057E+01
-0.69000E+01  0.40034E+01
-0.70000E+01  0.40014E+01
-0.71000E+01  0.40039E+01
-0.72000E+01  0.40118E+01
-0.73000E+01  0.40041E+01
-0.74000E+01  0.40290E+01
-0.75000E+01  0.40161E+01
-0.76000E+01  0.40024E+01
-0.77000E+01  0.40471E+01
-0.78000E+01  0.40428E+01
-0.79000E+01  0.40843E+01
-0.80000E+01  0.40150E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.27927E+01
-0.10000E+00  0.27775E+01
-0.20000E+00  0.27596E+01
-0.30000E+00  0.27385E+01
-0.40000E+00  0.27136E+01
-0.50000E+00  0.26843E+01
-0.60000E+00  0.26608E+01
-0.70000E+00  0.26216E+01
-0.80000E+00  0.25759E+01
-0.90000E+00  0.25227E+01
-0.10000E+01  0.24613E+01
-0.11000E+01  0.24083E+01
-0.12000E+01  0.23290E+01
-0.13000E+01  0.22376E+01
-0.14000E+01  0.21544E+01
-0.15000E+01  0.20273E+01
-0.16000E+01  0.18490E+01
-0.17000E+01  0.17077E+01
-0.18000E+01  0.16119E+01
-0.19000E+01  0.15643E+01
-0.20000E+01  0.15792E+01
-0.21000E+01  0.15840E+01
-0.22000E+01  0.16218E+01
-0.23000E+01  0.16577E+01
-0.24000E+01  0.17065E+01
-0.25000E+01  0.17616E+01
-0.26000E+01  0.18112E+01
