 zone T = "Var            1 : IMPLICIT",
 0.00000E+00  0.12920E+02
-0.10000E+00  0.12782E+02
-0.20000E+00  0.12662E+02
-0.30000E+00  0.12564E+02
-0.40000E+00  0.12494E+02
-0.50000E+00  0.12456E+02
-0.60000E+00  0.12456E+02
-0.70000E+00  0.12503E+02
-0.80000E+00  0.12609E+02
-0.90000E+00  0.12811E+02
-0.10000E+01  0.13277E+02
-0.11000E+01  0.13328E+02
-0.12000E+01  0.12866E+02
-0.13000E+01  0.12676E+02
-0.14000E+01  0.12569E+02
-0.15000E+01  0.12501E+02
-0.16000E+01  0.12458E+02
-0.17000E+01  0.12428E+02
-0.18000E+01  0.12409E+02
-0.19000E+01  0.12396E+02
-0.20000E+01  0.12387E+02
-0.21000E+01  0.12380E+02
-0.22000E+01  0.12376E+02
-0.23000E+01  0.12373E+02
-0.24000E+01  0.12371E+02
-0.25000E+01  0.12370E+02
-0.26000E+01  0.12369E+02
-0.27000E+01  0.12368E+02
-0.28000E+01  0.12368E+02
-0.29000E+01  0.12367E+02
-0.30000E+01  0.12367E+02
-0.31000E+01  0.12367E+02
-0.32000E+01  0.12367E+02
-0.33000E+01  0.12367E+02
-0.34000E+01  0.12366E+02
-0.35000E+01  0.12366E+02
-0.36000E+01  0.12366E+02
-0.37000E+01  0.12366E+02
-0.38000E+01  0.12366E+02
-0.39000E+01  0.12366E+02
-0.40000E+01  0.12366E+02
-0.41000E+01  0.12366E+02
-0.42000E+01  0.12366E+02
-0.43000E+01  0.12366E+02
-0.44000E+01  0.12366E+02
-0.45000E+01  0.12366E+02
-0.46000E+01  0.12366E+02
-0.47000E+01  0.12366E+02
-0.48000E+01  0.12366E+02
-0.49000E+01  0.12366E+02
-0.50000E+01  0.12366E+02
-0.51000E+01  0.12366E+02
-0.52000E+01  0.12366E+02
-0.53000E+01  0.12366E+02
-0.54000E+01  0.12366E+02
-0.55000E+01  0.12366E+02
-0.56000E+01  0.12366E+02
-0.57000E+01  0.12366E+02
-0.58000E+01  0.12366E+02
-0.59000E+01  0.12366E+02
-0.60000E+01  0.12366E+02
-0.61000E+01  0.12366E+02
-0.62000E+01  0.12366E+02
-0.63000E+01  0.12366E+02
-0.64000E+01  0.12366E+02
-0.65000E+01  0.12366E+02
-0.66000E+01  0.12366E+02
-0.67000E+01  0.12366E+02
-0.68000E+01  0.12366E+02
-0.69000E+01  0.12366E+02
-0.70000E+01  0.12366E+02
-0.71000E+01  0.12366E+02
-0.72000E+01  0.12366E+02
-0.73000E+01  0.12366E+02
-0.74000E+01  0.12366E+02
-0.75000E+01  0.12366E+02
-0.76000E+01  0.12366E+02
-0.77000E+01  0.12366E+02
-0.78000E+01  0.12366E+02
-0.79000E+01  0.12366E+02
-0.80000E+01  0.12366E+02
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.10715+247
-0.10000E+00  0.10715+247
-0.20000E+00  0.10715+247
-0.30000E+00  0.10715+247
-0.40000E+00  0.10715+247
-0.50000E+00  0.10715+247
-0.60000E+00  0.10715+247
-0.70000E+00  0.10715+247
-0.80000E+00  0.10715+247
-0.90000E+00  0.10715+247
-0.10000E+01  0.10715+247
-0.11000E+01  0.10715+247
-0.12000E+01  0.10715+247
-0.13000E+01  0.10715+247
-0.14000E+01  0.10715+247
-0.15000E+01  0.10715+247
-0.16000E+01  0.10715+247
-0.17000E+01  0.10715+247
-0.18000E+01  0.10715+247
-0.19000E+01  0.10715+247
-0.20000E+01  0.10715+247
-0.21000E+01  0.10715+247
-0.22000E+01  0.10715+247
-0.23000E+01  0.10715+247
-0.24000E+01  0.10715+247
-0.25000E+01  0.10715+247
-0.26000E+01  0.10715+247
-0.27000E+01  0.10715+247
-0.28000E+01  0.10715+247
-0.29000E+01  0.10715+247
-0.30000E+01  0.10715+247
-0.31000E+01  0.10715+247
-0.32000E+01  0.10715+247
-0.33000E+01  0.10715+247
-0.34000E+01  0.10715+247
-0.35000E+01  0.10715+247
-0.36000E+01  0.10715+247
-0.37000E+01  0.10715+247
-0.38000E+01  0.10715+247
-0.39000E+01  0.10715+247
-0.40000E+01  0.10715+247
-0.41000E+01  0.10715+247
-0.42000E+01  0.10715+247
-0.43000E+01  0.10715+247
-0.44000E+01  0.10715+247
-0.45000E+01  0.10715+247
-0.46000E+01  0.10715+247
-0.47000E+01  0.10715+247
-0.48000E+01  0.10715+247
-0.49000E+01  0.10715+247
-0.50000E+01  0.10715+247
-0.51000E+01  0.10715+247
-0.52000E+01  0.10715+247
-0.53000E+01  0.10715+247
-0.54000E+01  0.10715+247
-0.55000E+01  0.10715+247
-0.56000E+01  0.10715+247
-0.57000E+01  0.10715+247
-0.58000E+01  0.10715+247
-0.59000E+01  0.10715+247
-0.60000E+01  0.10715+247
-0.61000E+01  0.10715+247
-0.62000E+01  0.10715+247
-0.63000E+01  0.10715+247
-0.64000E+01  0.10715+247
-0.65000E+01  0.10715+247
-0.66000E+01  0.10715+247
-0.67000E+01  0.10715+247
-0.68000E+01  0.10715+247
-0.69000E+01  0.10715+247
-0.70000E+01  0.10715+247
-0.71000E+01  0.10715+247
-0.72000E+01  0.10715+247
-0.73000E+01  0.10715+247
-0.74000E+01  0.10715+247
-0.75000E+01  0.10715+247
-0.76000E+01  0.10715+247
-0.77000E+01  0.10715+247
-0.78000E+01  0.10715+247
-0.79000E+01  0.10715+247
-0.80000E+01  0.10715+247
 zone T = "Var            2 : IMPLICIT",
 0.00000E+00  0.15374E+02
-0.10000E+00  0.15137E+02
-0.20000E+00  0.14916E+02
-0.30000E+00  0.14715E+02
-0.40000E+00  0.14536E+02
-0.50000E+00  0.14383E+02
-0.60000E+00  0.14255E+02
-0.70000E+00  0.14156E+02
-0.80000E+00  0.14083E+02
-0.90000E+00  0.14036E+02
-0.10000E+01  0.14012E+02
-0.11000E+01  0.14007E+02
-0.12000E+01  0.14020E+02
-0.13000E+01  0.14045E+02
-0.14000E+01  0.14082E+02
-0.15000E+01  0.14129E+02
-0.16000E+01  0.14182E+02
-0.17000E+01  0.14240E+02
-0.18000E+01  0.14302E+02
-0.19000E+01  0.14366E+02
-0.20000E+01  0.14432E+02
-0.21000E+01  0.14497E+02
-0.22000E+01  0.14561E+02
-0.23000E+01  0.14622E+02
-0.24000E+01  0.14681E+02
-0.25000E+01  0.14735E+02
-0.26000E+01  0.14785E+02
-0.27000E+01  0.14830E+02
-0.28000E+01  0.14870E+02
-0.29000E+01  0.14905E+02
-0.30000E+01  0.14936E+02
-0.31000E+01  0.14962E+02
-0.32000E+01  0.14984E+02
-0.33000E+01  0.15003E+02
-0.34000E+01  0.15018E+02
-0.35000E+01  0.15030E+02
-0.36000E+01  0.15041E+02
-0.37000E+01  0.15049E+02
-0.38000E+01  0.15056E+02
-0.39000E+01  0.15061E+02
-0.40000E+01  0.15066E+02
-0.41000E+01  0.15069E+02
-0.42000E+01  0.15072E+02
-0.43000E+01  0.15074E+02
-0.44000E+01  0.15076E+02
-0.45000E+01  0.15078E+02
-0.46000E+01  0.15079E+02
-0.47000E+01  0.15080E+02
-0.48000E+01  0.15080E+02
-0.49000E+01  0.15081E+02
-0.50000E+01  0.15081E+02
-0.51000E+01  0.15082E+02
-0.52000E+01  0.15082E+02
-0.53000E+01  0.15082E+02
-0.54000E+01  0.15082E+02
-0.55000E+01  0.15083E+02
-0.56000E+01  0.15083E+02
-0.57000E+01  0.15083E+02
-0.58000E+01  0.15083E+02
-0.59000E+01  0.15083E+02
-0.60000E+01  0.15083E+02
-0.61000E+01  0.15083E+02
-0.62000E+01  0.15083E+02
-0.63000E+01  0.15083E+02
-0.64000E+01  0.15083E+02
-0.65000E+01  0.15083E+02
-0.66000E+01  0.15083E+02
-0.67000E+01  0.15083E+02
-0.68000E+01  0.15083E+02
-0.69000E+01  0.15083E+02
-0.70000E+01  0.15083E+02
-0.71000E+01  0.15083E+02
-0.72000E+01  0.15083E+02
-0.73000E+01  0.15083E+02
-0.74000E+01  0.15083E+02
-0.75000E+01  0.15083E+02
-0.76000E+01  0.15083E+02
-0.77000E+01  0.15083E+02
-0.78000E+01  0.15083E+02
-0.79000E+01  0.15083E+02
-0.80000E+01  0.15083E+02
 zone T = "Var            2 : Predicted",
 0.00000E+00  0.14206E+02
-0.10000E+00  0.14125E+02
-0.20000E+00  0.14050E+02
-0.30000E+00  0.13981E+02
-0.40000E+00  0.13919E+02
-0.50000E+00  0.13865E+02
-0.60000E+00  0.13818E+02
-0.70000E+00  0.13779E+02
-0.80000E+00  0.13747E+02
-0.90000E+00  0.13721E+02
-0.10000E+01  0.13701E+02
-0.11000E+01  0.13685E+02
-0.12000E+01  0.13673E+02
-0.13000E+01  0.13663E+02
-0.14000E+01  0.13656E+02
-0.15000E+01  0.13651E+02
-0.16000E+01  0.13647E+02
-0.17000E+01  0.13644E+02
-0.18000E+01  0.13641E+02
-0.19000E+01  0.13639E+02
-0.20000E+01  0.13638E+02
-0.21000E+01  0.13637E+02
-0.22000E+01  0.13636E+02
-0.23000E+01  0.13635E+02
-0.24000E+01  0.13635E+02
-0.25000E+01  0.13635E+02
-0.26000E+01  0.13634E+02
-0.27000E+01  0.13634E+02
-0.28000E+01  0.13635E+02
-0.29000E+01  0.13635E+02
-0.30000E+01  0.13635E+02
-0.31000E+01  0.13636E+02
-0.32000E+01  0.13637E+02
-0.33000E+01  0.13638E+02
-0.34000E+01  0.13640E+02
-0.35000E+01  0.13642E+02
-0.36000E+01  0.13644E+02
-0.37000E+01  0.13647E+02
-0.38000E+01  0.13651E+02
-0.39000E+01  0.13656E+02
-0.40000E+01  0.13663E+02
-0.41000E+01  0.13671E+02
-0.42000E+01  0.13682E+02
-0.43000E+01  0.13695E+02
-0.44000E+01  0.13714E+02
-0.45000E+01  0.13737E+02
-0.46000E+01  0.13769E+02
-0.47000E+01  0.13814E+02
-0.48000E+01  0.13876E+02
-0.49000E+01  0.13971E+02
-0.50000E+01  0.14129E+02
-0.51000E+01  0.14481E+02
-0.52000E+01  0.14725E+02
-0.53000E+01  0.14075E+02
-0.54000E+01  0.13779E+02
-0.55000E+01  0.13569E+02
-0.56000E+01  0.13398E+02
-0.57000E+01  0.13249E+02
-0.58000E+01  0.13113E+02
-0.59000E+01  0.12987E+02
-0.60000E+01  0.12867E+02
-0.61000E+01  0.12752E+02
-0.62000E+01  0.12640E+02
-0.63000E+01  0.12531E+02
-0.64000E+01  0.12424E+02
-0.65000E+01  0.12319E+02
-0.66000E+01  0.12215E+02
-0.67000E+01  0.12111E+02
-0.68000E+01  0.12008E+02
-0.69000E+01  0.11906E+02
-0.70000E+01  0.11805E+02
-0.71000E+01  0.11703E+02
-0.72000E+01  0.11602E+02
-0.73000E+01  0.11501E+02
-0.74000E+01  0.11401E+02
-0.75000E+01  0.11300E+02
-0.76000E+01  0.11200E+02
-0.77000E+01  0.11099E+02
-0.78000E+01  0.10999E+02
-0.79000E+01  0.10899E+02
-0.80000E+01  0.10799E+02
