 zone T = "Var            1 : IMPLICIT",
 0.00000E+00  0.13034E+02
-0.10000E+00  0.12887E+02
-0.20000E+00  0.12757E+02
-0.30000E+00  0.12648E+02
-0.40000E+00  0.12564E+02
-0.50000E+00  0.12507E+02
-0.60000E+00  0.12482E+02
-0.70000E+00  0.12487E+02
-0.80000E+00  0.12524E+02
-0.90000E+00  0.12591E+02
-0.10000E+01  0.12685E+02
-0.11000E+01  0.12808E+02
-0.12000E+01  0.12962E+02
-0.13000E+01  0.13169E+02
-0.14000E+01  0.13497E+02
-0.15000E+01  0.15163E+02
-0.16000E+01  0.13577E+02
-0.17000E+01  0.13300E+02
-0.18000E+01  0.13151E+02
-0.19000E+01  0.13054E+02
-0.20000E+01  0.12985E+02
-0.21000E+01  0.12935E+02
-0.22000E+01  0.12897E+02
-0.23000E+01  0.12867E+02
-0.24000E+01  0.12845E+02
-0.25000E+01  0.12827E+02
-0.26000E+01  0.12813E+02
-0.27000E+01  0.12802E+02
-0.28000E+01  0.12793E+02
-0.29000E+01  0.12787E+02
-0.30000E+01  0.12781E+02
-0.31000E+01  0.12777E+02
-0.32000E+01  0.12774E+02
-0.33000E+01  0.12771E+02
-0.34000E+01  0.12769E+02
-0.35000E+01  0.12767E+02
-0.36000E+01  0.12766E+02
-0.37000E+01  0.12765E+02
-0.38000E+01  0.12764E+02
-0.39000E+01  0.12763E+02
-0.40000E+01  0.12763E+02
-0.41000E+01  0.12762E+02
-0.42000E+01  0.12762E+02
-0.43000E+01  0.12762E+02
-0.44000E+01  0.12761E+02
-0.45000E+01  0.12761E+02
-0.46000E+01  0.12761E+02
-0.47000E+01  0.12761E+02
-0.48000E+01  0.12761E+02
-0.49000E+01  0.12761E+02
-0.50000E+01  0.12761E+02
-0.51000E+01  0.12761E+02
-0.52000E+01  0.12761E+02
-0.53000E+01  0.12761E+02
-0.54000E+01  0.12761E+02
-0.55000E+01  0.12761E+02
-0.56000E+01  0.12761E+02
-0.57000E+01  0.12761E+02
-0.58000E+01  0.12761E+02
-0.59000E+01  0.12761E+02
-0.60000E+01  0.12761E+02
-0.61000E+01  0.12761E+02
-0.62000E+01  0.12761E+02
-0.63000E+01  0.12761E+02
-0.64000E+01  0.12761E+02
-0.65000E+01  0.12761E+02
-0.66000E+01  0.12761E+02
-0.67000E+01  0.12761E+02
-0.68000E+01  0.12761E+02
-0.69000E+01  0.12761E+02
-0.70000E+01  0.12761E+02
-0.71000E+01  0.12761E+02
-0.72000E+01  0.12761E+02
-0.73000E+01  0.12761E+02
-0.74000E+01  0.12761E+02
-0.75000E+01  0.12761E+02
-0.76000E+01  0.12761E+02
-0.77000E+01  0.12761E+02
-0.78000E+01  0.12761E+02
-0.79000E+01  0.12761E+02
-0.80000E+01  0.12761E+02
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.69069E+01
-0.10000E+00  0.68391E+01
-0.20000E+00  0.67769E+01
-0.30000E+00  0.67206E+01
-0.40000E+00  0.66703E+01
-0.50000E+00  0.66258E+01
-0.60000E+00  0.65869E+01
-0.70000E+00  0.65530E+01
-0.80000E+00  0.65235E+01
-0.90000E+00  0.64977E+01
-0.10000E+01  0.64752E+01
-0.11000E+01  0.64555E+01
-0.12000E+01  0.64383E+01
-0.13000E+01  0.64234E+01
-0.14000E+01  0.64104E+01
-0.15000E+01  0.63994E+01
-0.16000E+01  0.63900E+01
-0.17000E+01  0.63821E+01
-0.18000E+01  0.63755E+01
-0.19000E+01  0.63701E+01
-0.20000E+01  0.63656E+01
-0.21000E+01  0.63620E+01
-0.22000E+01  0.63590E+01
-0.23000E+01  0.63567E+01
-0.24000E+01  0.63547E+01
-0.25000E+01  0.63532E+01
-0.26000E+01  0.63520E+01
-0.27000E+01  0.63510E+01
-0.28000E+01  0.63502E+01
-0.29000E+01  0.63496E+01
-0.30000E+01  0.63491E+01
-0.31000E+01  0.63487E+01
-0.32000E+01  0.63483E+01
-0.33000E+01  0.63481E+01
-0.34000E+01  0.63479E+01
-0.35000E+01  0.63477E+01
-0.36000E+01  0.63476E+01
-0.37000E+01  0.63475E+01
-0.38000E+01  0.63474E+01
-0.39000E+01  0.63473E+01
-0.40000E+01  0.63473E+01
-0.41000E+01  0.63473E+01
-0.42000E+01  0.63472E+01
-0.43000E+01  0.63472E+01
-0.44000E+01  0.63472E+01
-0.45000E+01  0.63472E+01
-0.46000E+01  0.63471E+01
-0.47000E+01  0.63471E+01
-0.48000E+01  0.63471E+01
-0.49000E+01  0.63471E+01
-0.50000E+01  0.63471E+01
-0.51000E+01  0.63471E+01
