 zone T = "Var            1 : IMPLICIT",
 0.00000E+00  0.41669E+01
-0.10000E+00  0.40149E+01
-0.20000E+00  0.38827E+01
-0.30000E+00  0.37746E+01
-0.40000E+00  0.36950E+01
-0.50000E+00  0.36482E+01
-0.60000E+00  0.36390E+01
-0.70000E+00  0.36727E+01
-0.80000E+00  0.37572E+01
-0.90000E+00  0.39095E+01
-0.10000E+01  0.41829E+01
-0.11000E+01  0.50217E+01
-0.12000E+01  0.43898E+01
-0.13000E+01  0.40787E+01
-0.14000E+01  0.39260E+01
-0.15000E+01  0.38323E+01
-0.16000E+01  0.37691E+01
-0.17000E+01  0.37239E+01
-0.18000E+01  0.36906E+01
-0.19000E+01  0.36654E+01
-0.20000E+01  0.36460E+01
-0.21000E+01  0.36309E+01
-0.22000E+01  0.36191E+01
-0.23000E+01  0.36098E+01
-0.24000E+01  0.36025E+01
-0.25000E+01  0.35967E+01
-0.26000E+01  0.35922E+01
-0.27000E+01  0.35886E+01
-0.28000E+01  0.35857E+01
-0.29000E+01  0.35834E+01
-0.30000E+01  0.35816E+01
-0.31000E+01  0.35802E+01
-0.32000E+01  0.35790E+01
-0.33000E+01  0.35781E+01
-0.34000E+01  0.35774E+01
-0.35000E+01  0.35768E+01
-0.36000E+01  0.35764E+01
-0.37000E+01  0.35760E+01
-0.38000E+01  0.35757E+01
-0.39000E+01  0.35755E+01
-0.40000E+01  0.35753E+01
-0.41000E+01  0.35752E+01
-0.42000E+01  0.35751E+01
-0.43000E+01  0.35750E+01
-0.44000E+01  0.35749E+01
-0.45000E+01  0.35748E+01
-0.46000E+01  0.35748E+01
-0.47000E+01  0.35748E+01
-0.48000E+01  0.35747E+01
-0.49000E+01  0.35747E+01
-0.50000E+01  0.35747E+01
-0.51000E+01  0.35747E+01
-0.52000E+01  0.35747E+01
-0.53000E+01  0.35747E+01
-0.54000E+01  0.35747E+01
-0.55000E+01  0.35747E+01
-0.56000E+01  0.35746E+01
-0.57000E+01  0.35746E+01
-0.58000E+01  0.35746E+01
-0.59000E+01  0.35746E+01
-0.60000E+01  0.35746E+01
-0.61000E+01  0.35746E+01
-0.62000E+01  0.35746E+01
-0.63000E+01  0.35746E+01
-0.64000E+01  0.35746E+01
-0.65000E+01  0.35746E+01
-0.66000E+01  0.35746E+01
-0.67000E+01  0.35746E+01
-0.68000E+01  0.35746E+01
-0.69000E+01  0.35746E+01
-0.70000E+01  0.35746E+01
-0.71000E+01  0.35746E+01
-0.72000E+01  0.35746E+01
-0.73000E+01  0.35746E+01
-0.74000E+01  0.35746E+01
-0.75000E+01  0.35746E+01
-0.76000E+01  0.35746E+01
-0.77000E+01  0.35746E+01
-0.78000E+01  0.35746E+01
-0.79000E+01  0.35746E+01
-0.80000E+01  0.35746E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.25248E+01
-0.10000E+00  0.24719E+01
-0.20000E+00  0.24263E+01
-0.30000E+00  0.23879E+01
-0.40000E+00  0.23566E+01
-0.50000E+00  0.23318E+01
-0.60000E+00  0.23127E+01
-0.70000E+00  0.22983E+01
-0.80000E+00  0.22875E+01
-0.90000E+00  0.22794E+01
-0.10000E+01  0.22731E+01
-0.11000E+01  0.22682E+01
-0.12000E+01  0.22642E+01
-0.13000E+01  0.22609E+01
-0.14000E+01  0.22582E+01
-0.15000E+01  0.22560E+01
-0.16000E+01  0.22542E+01
-0.17000E+01  0.22527E+01
-0.18000E+01  0.22515E+01
-0.19000E+01  0.22505E+01
-0.20000E+01  0.22498E+01
-0.21000E+01  0.22492E+01
-0.22000E+01  0.22487E+01
-0.23000E+01  0.22483E+01
-0.24000E+01  0.22480E+01
-0.25000E+01  0.22477E+01
-0.26000E+01  0.22476E+01
-0.27000E+01  0.22474E+01
-0.28000E+01  0.22473E+01
-0.29000E+01  0.22472E+01
-0.30000E+01  0.22471E+01
-0.31000E+01  0.22471E+01
-0.32000E+01  0.22470E+01
-0.33000E+01  0.22470E+01
-0.34000E+01  0.22469E+01
-0.35000E+01  0.22469E+01
-0.36000E+01  0.22469E+01
-0.37000E+01  0.22469E+01
-0.38000E+01  0.22469E+01
-0.39000E+01  0.22469E+01
-0.40000E+01  0.22468E+01
-0.41000E+01  0.22468E+01
-0.42000E+01  0.22468E+01
-0.43000E+01  0.22468E+01
-0.44000E+01  0.22468E+01
-0.45000E+01  0.22468E+01
-0.46000E+01  0.22468E+01
-0.47000E+01  0.22468E+01
-0.48000E+01  0.22468E+01
-0.49000E+01  0.22468E+01
-0.50000E+01  0.22468E+01
-0.51000E+01  0.22468E+01
-0.52000E+01  0.22468E+01
-0.53000E+01  0.22468E+01
-0.54000E+01  0.22468E+01
-0.55000E+01  0.22468E+01
-0.56000E+01  0.22468E+01
-0.57000E+01  0.22468E+01
-0.58000E+01  0.22468E+01
-0.59000E+01  0.22468E+01
-0.60000E+01  0.22468E+01
-0.61000E+01  0.22468E+01
-0.62000E+01  0.22468E+01
-0.63000E+01  0.22468E+01
-0.64000E+01  0.22468E+01
-0.65000E+01  0.22468E+01
-0.66000E+01  0.22468E+01
-0.67000E+01  0.22468E+01
-0.68000E+01  0.22468E+01
-0.69000E+01  0.22468E+01
-0.70000E+01  0.22468E+01
-0.71000E+01  0.22468E+01
-0.72000E+01  0.22468E+01
-0.73000E+01  0.22468E+01
-0.74000E+01  0.22468E+01
-0.75000E+01  0.22468E+01
-0.76000E+01  0.22468E+01
-0.77000E+01  0.22468E+01
-0.78000E+01  0.22468E+01
-0.79000E+01  0.22468E+01
-0.80000E+01  0.22468E+01
 zone T = "Var            2 : IMPLICIT",
 0.00000E+00  0.36831E+01
-0.10000E+00  0.34482E+01
-0.20000E+00  0.32285E+01
-0.30000E+00  0.30280E+01
-0.40000E+00  0.28503E+01
-0.50000E+00  0.26986E+01
-0.60000E+00  0.25753E+01
-0.70000E+00  0.24815E+01
-0.80000E+00  0.24169E+01
-0.90000E+00  0.23796E+01
-0.10000E+01  0.23665E+01
-0.11000E+01  0.23739E+01
-0.12000E+01  0.23980E+01
-0.13000E+01  0.24350E+01
-0.14000E+01  0.24819E+01
-0.15000E+01  0.25361E+01
-0.16000E+01  0.25955E+01
-0.17000E+01  0.26582E+01
-0.18000E+01  0.27226E+01
-0.19000E+01  0.27875E+01
-0.20000E+01  0.28517E+01
-0.21000E+01  0.29141E+01
-0.22000E+01  0.29737E+01
-0.23000E+01  0.30299E+01
-0.24000E+01  0.30819E+01
-0.25000E+01  0.31294E+01
-0.26000E+01  0.31720E+01
-0.27000E+01  0.32097E+01
-0.28000E+01  0.32425E+01
-0.29000E+01  0.32708E+01
-0.30000E+01  0.32949E+01
-0.31000E+01  0.33151E+01
-0.32000E+01  0.33319E+01
-0.33000E+01  0.33458E+01
-0.34000E+01  0.33573E+01
-0.35000E+01  0.33666E+01
-0.36000E+01  0.33741E+01
-0.37000E+01  0.33802E+01
-0.38000E+01  0.33851E+01
-0.39000E+01  0.33891E+01
-0.40000E+01  0.33923E+01
-0.41000E+01  0.33948E+01
-0.42000E+01  0.33968E+01
-0.43000E+01  0.33984E+01
-0.44000E+01  0.33997E+01
-0.45000E+01  0.34007E+01
-0.46000E+01  0.34016E+01
-0.47000E+01  0.34022E+01
-0.48000E+01  0.34027E+01
-0.49000E+01  0.34031E+01
-0.50000E+01  0.34035E+01
-0.51000E+01  0.34037E+01
-0.52000E+01  0.34039E+01
-0.53000E+01  0.34041E+01
-0.54000E+01  0.34042E+01
