 zone T = "Var            1 : IMPLICIT",
 0.00000E+00  0.26281E+01
-0.10000E+00  0.28089E+01
-0.20000E+00  0.30498E+01
-0.30000E+00  0.38920E+01
-0.40000E+00  0.40073E+01
-0.50000E+00  0.40164E+01
-0.60000E+00  0.39818E+01
-0.70000E+00  0.31072E+01
-0.80000E+00  0.38870E+01
-0.90000E+00  0.38406E+01
-0.10000E+01  0.31174E+01
-0.11000E+01  0.31084E+01
-0.12000E+01  0.35519E+01
-0.13000E+01  0.30198E+01
-0.14000E+01  0.32868E+01
-0.15000E+01  0.31803E+01
-0.16000E+01  0.29453E+01
-0.17000E+01  0.30322E+01
-0.18000E+01  0.29782E+01
-0.19000E+01  0.28765E+01
-0.20000E+01  0.28561E+01
-0.21000E+01  0.28205E+01
-0.22000E+01  0.27828E+01
-0.23000E+01  0.27401E+01
-0.24000E+01  0.27221E+01
-0.25000E+01  0.26850E+01
-0.26000E+01  0.26126E+01
-0.27000E+01  0.25935E+01
-0.28000E+01  0.25464E+01
-0.29000E+01  0.25247E+01
-0.30000E+01  0.24211E+01
-0.31000E+01  0.23633E+01
-0.32000E+01  0.23176E+01
-0.33000E+01  0.22780E+01
-0.34000E+01  0.22459E+01
-0.35000E+01  0.22201E+01
-0.36000E+01  0.22007E+01
-0.37000E+01  0.21875E+01
-0.38000E+01  0.21800E+01
-0.39000E+01  0.21778E+01
-0.40000E+01  0.21797E+01
-0.41000E+01  0.21847E+01
-0.42000E+01  0.21912E+01
-0.43000E+01  0.21977E+01
-0.44000E+01  0.22023E+01
-0.45000E+01  0.22025E+01
-0.46000E+01  0.21947E+01
-0.47000E+01  0.21709E+01
-0.48000E+01  0.21127E+01
-0.49000E+01  0.20789E+01
-0.50000E+01  0.20582E+01
-0.51000E+01  0.20440E+01
-0.52000E+01  0.20338E+01
-0.53000E+01  0.20262E+01
-0.54000E+01  0.20204E+01
-0.55000E+01  0.20160E+01
-0.56000E+01  0.20126E+01
-0.57000E+01  0.20100E+01
-0.58000E+01  0.20079E+01
-0.59000E+01  0.20063E+01
-0.60000E+01  0.20050E+01
-0.61000E+01  0.20040E+01
-0.62000E+01  0.20032E+01
-0.63000E+01  0.20026E+01
-0.64000E+01  0.20021E+01
-0.65000E+01  0.20017E+01
-0.66000E+01  0.20014E+01
-0.67000E+01  0.20011E+01
-0.68000E+01  0.20009E+01
-0.69000E+01  0.20008E+01
-0.70000E+01  0.20007E+01
-0.71000E+01  0.20006E+01
-0.72000E+01  0.20005E+01
-0.73000E+01  0.20004E+01
-0.74000E+01  0.20004E+01
-0.75000E+01  0.20003E+01
-0.76000E+01  0.20003E+01
-0.77000E+01  0.20002E+01
-0.78000E+01  0.20003E+01
-0.79000E+01  0.20002E+01
-0.80000E+01  0.20003E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.29826E+01
-0.10000E+00  0.29782E+01
-0.20000E+00  0.29726E+01
-0.30000E+00  0.29453E+01
-0.40000E+00  0.29195E+01
-0.50000E+00  0.29019E+01
-0.60000E+00  0.28805E+01
-0.70000E+00  0.29136E+01
-0.80000E+00  0.28131E+01
-0.90000E+00  0.27749E+01
-0.10000E+01  0.28333E+01
-0.11000E+01  0.27951E+01
-0.12000E+01  0.26104E+01
-0.13000E+01  0.26983E+01
-0.14000E+01  0.24722E+01
-0.15000E+01  0.23946E+01
-0.16000E+01  0.24995E+01
-0.17000E+01  0.22262E+01
-0.18000E+01  0.21372E+01
-0.19000E+01  0.22416E+01
-0.20000E+01  0.21448E+01
-0.21000E+01  0.20435E+01
-0.22000E+01  0.19386E+01
-0.23000E+01  0.16766E+01
-0.24000E+01  0.17206E+01
-0.25000E+01  0.16090E+01
-0.26000E+01  0.14096E+01
-0.27000E+01  0.13844E+01
-0.28000E+01  0.12728E+01
-0.29000E+01  0.11628E+01
-0.30000E+01  0.10550E+01
-0.31000E+01  0.95017E+00
-0.32000E+01  0.84902E+00
-0.33000E+01  0.75219E+00
-0.34000E+01  0.66030E+00
-0.35000E+01  0.57391E+00
-0.36000E+01  0.49354E+00
-0.37000E+01  0.41959E+00
-0.38000E+01  0.35239E+00
-0.39000E+01  0.29218E+00
-0.40000E+01  0.23906E+00
-0.41000E+01  0.19298E+00
-0.42000E+01  0.15376E+00
-0.43000E+01  0.12104E+00
-0.44000E+01  0.94310E-01
-0.45000E+01  0.72900E-01
-0.46000E+01  0.56059E-01
-0.47000E+01  0.43005E-01
-0.48000E+01  0.32991E-01
-0.49000E+01  0.25357E-01
-0.50000E+01  0.19550E-01
-0.51000E+01  0.15129E-01
-0.52000E+01  0.11755E-01
-0.53000E+01  0.91699E-02
-0.54000E+01  0.71797E-02
-0.55000E+01  0.56411E-02
-0.56000E+01  0.44464E-02
-0.57000E+01  0.35153E-02
-0.58000E+01  0.27872E-02
-0.59000E+01  0.22162E-02
-0.60000E+01  0.17673E-02
-0.61000E+01  0.14138E-02
-0.62000E+01  0.11349E-02
-0.63000E+01  0.91453E-03
-0.64000E+01  0.74027E-03
-0.65000E+01  0.60234E-03
