 zone T = "Var            1 : Implicit",
 0.00000E+00  0.40511E+01
-0.10000E+00  0.40444E+01
-0.20000E+00  0.40347E+01
-0.30000E+00  0.40217E+01
-0.40000E+00  0.40045E+01
-0.50000E+00  0.39825E+01
-0.60000E+00  0.39546E+01
-0.70000E+00  0.39200E+01
-0.80000E+00  0.38778E+01
-0.90000E+00  0.38274E+01
-0.10000E+01  0.37685E+01
-0.11000E+01  0.37012E+01
-0.12000E+01  0.36266E+01
-0.13000E+01  0.35464E+01
-0.14000E+01  0.34629E+01
-0.15000E+01  0.33787E+01
-0.16000E+01  0.32969E+01
-0.17000E+01  0.32181E+01
-0.18000E+01  0.31415E+01
-0.19000E+01  0.30682E+01
-0.20000E+01  0.29979E+01
-0.21000E+01  0.29268E+01
-0.22000E+01  0.28539E+01
-0.23000E+01  0.27811E+01
-0.24000E+01  0.27123E+01
-0.25000E+01  0.26516E+01
-0.26000E+01  0.26001E+01
-0.27000E+01  0.25549E+01
-0.28000E+01  0.25134E+01
-0.29000E+01  0.24746E+01
-0.30000E+01  0.24387E+01
-0.31000E+01  0.24078E+01
-0.32000E+01  0.23849E+01
-0.33000E+01  0.23707E+01
-0.34000E+01  0.23600E+01
-0.35000E+01  0.23493E+01
-0.36000E+01  0.23429E+01
-0.37000E+01  0.23459E+01
-0.38000E+01  0.23593E+01
-0.39000E+01  0.23817E+01
-0.40000E+01  0.24112E+01
-0.41000E+01  0.24458E+01
-0.42000E+01  0.24839E+01
-0.43000E+01  0.25243E+01
-0.44000E+01  0.25659E+01
-0.45000E+01  0.26078E+01
-0.46000E+01  0.26493E+01
-0.47000E+01  0.26899E+01
-0.48000E+01  0.27293E+01
-0.49000E+01  0.27670E+01
-0.50000E+01  0.28028E+01
-0.51000E+01  0.28365E+01
-0.52000E+01  0.28681E+01
-0.53000E+01  0.28974E+01
-0.54000E+01  0.29244E+01
-0.55000E+01  0.29492E+01
-0.56000E+01  0.29718E+01
-0.57000E+01  0.29923E+01
-0.58000E+01  0.30107E+01
-0.59000E+01  0.30271E+01
-0.60000E+01  0.30418E+01
-0.61000E+01  0.30546E+01
-0.62000E+01  0.30659E+01
-0.63000E+01  0.30757E+01
-0.64000E+01  0.30841E+01
-0.65000E+01  0.30913E+01
-0.66000E+01  0.30973E+01
-0.67000E+01  0.31024E+01
-0.68000E+01  0.31066E+01
-0.69000E+01  0.31101E+01
-0.70000E+01  0.31130E+01
-0.71000E+01  0.31153E+01
-0.72000E+01  0.31172E+01
-0.73000E+01  0.31188E+01
-0.74000E+01  0.31200E+01
-0.75000E+01  0.31210E+01
-0.76000E+01  0.31218E+01
-0.77000E+01  0.31224E+01
-0.78000E+01  0.31229E+01
-0.79000E+01  0.31233E+01
-0.80000E+01  0.31237E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.11389E+01
-0.10000E+00  0.11406E+01
-0.20000E+00  0.11424E+01
-0.30000E+00  0.11443E+01
-0.40000E+00  0.11460E+01
-0.50000E+00  0.11473E+01
-0.60000E+00  0.11480E+01
-0.70000E+00  0.11475E+01
-0.80000E+00  0.11452E+01
-0.90000E+00  0.11405E+01
-0.10000E+01  0.11322E+01
-0.11000E+01  0.11191E+01
-0.12000E+01  0.11044E+01
-0.13000E+01  0.10928E+01
-0.14000E+01  0.10858E+01
-0.15000E+01  0.10840E+01
-0.16000E+01  0.10894E+01
-0.17000E+01  0.11028E+01
-0.18000E+01  0.11287E+01
-0.19000E+01  0.11635E+01
-0.20000E+01  0.12088E+01
-0.21000E+01  0.12644E+01
-0.22000E+01  0.13299E+01
-0.23000E+01  0.14039E+01
-0.24000E+01  0.14866E+01
-0.25000E+01  0.15771E+01
-0.26000E+01  0.16751E+01
-0.27000E+01  0.17806E+01
-0.28000E+01  0.18918E+01
-0.29000E+01  0.20111E+01
-0.30000E+01  0.21317E+01
-0.31000E+01  0.22603E+01
-0.32000E+01  0.23860E+01
-0.33000E+01  0.25110E+01
-0.34000E+01  0.26395E+01
-0.35000E+01  0.27402E+01
-0.36000E+01  0.28321E+01
-0.37000E+01  0.29101E+01
-0.38000E+01  0.29150E+01
-0.39000E+01  0.28483E+01
-0.40000E+01  0.28313E+01
-0.41000E+01  0.28332E+01
-0.42000E+01  0.28426E+01
-0.43000E+01  0.28553E+01
-0.44000E+01  0.28688E+01
-0.45000E+01  0.28820E+01
-0.46000E+01  0.28943E+01
-0.47000E+01  0.29053E+01
-0.48000E+01  0.29150E+01
-0.49000E+01  0.29233E+01
-0.50000E+01  0.29304E+01
-0.51000E+01  0.29363E+01
-0.52000E+01  0.29412E+01
-0.53000E+01  0.29452E+01
-0.54000E+01  0.29485E+01
-0.55000E+01  0.29512E+01
-0.56000E+01  0.29534E+01
-0.57000E+01  0.29551E+01
-0.58000E+01  0.29565E+01
-0.59000E+01  0.29576E+01
-0.60000E+01  0.29585E+01
-0.61000E+01  0.29593E+01
-0.62000E+01  0.29598E+01
-0.63000E+01  0.29603E+01
-0.64000E+01  0.29607E+01
-0.65000E+01  0.29610E+01
-0.66000E+01  0.29612E+01
-0.67000E+01  0.29614E+01
-0.68000E+01  0.29615E+01
-0.69000E+01  0.29616E+01
-0.70000E+01  0.29617E+01
-0.71000E+01  0.29618E+01
-0.72000E+01  0.29619E+01
-0.73000E+01  0.29619E+01
-0.74000E+01  0.29619E+01
-0.75000E+01  0.29620E+01
-0.76000E+01  0.29620E+01
-0.77000E+01  0.29620E+01
-0.78000E+01  0.29620E+01
-0.79000E+01  0.29620E+01
-0.80000E+01  0.29620E+01
 zone T = "Var            2 : Implicit",
 0.00000E+00  0.37457E+01
-0.10000E+00  0.37498E+01
-0.20000E+00  0.37581E+01
-0.30000E+00  0.37695E+01
-0.40000E+00  0.37821E+01
-0.50000E+00  0.37929E+01
-0.60000E+00  0.37995E+01
-0.70000E+00  0.37999E+01
-0.80000E+00  0.37931E+01
-0.90000E+00  0.37794E+01
-0.10000E+01  0.37610E+01
-0.11000E+01  0.37427E+01
-0.12000E+01  0.37297E+01
-0.13000E+01  0.37223E+01
-0.14000E+01  0.37185E+01
-0.15000E+01  0.37204E+01
-0.16000E+01  0.37269E+01
-0.17000E+01  0.37316E+01
-0.18000E+01  0.37307E+01
-0.19000E+01  0.37231E+01
-0.20000E+01  0.37081E+01
-0.21000E+01  0.36857E+01
-0.22000E+01  0.36555E+01
-0.23000E+01  0.36166E+01
-0.24000E+01  0.35699E+01
-0.25000E+01  0.35211E+01
-0.26000E+01  0.34764E+01
-0.27000E+01  0.34325E+01
-0.28000E+01  0.33681E+01
-0.29000E+01  0.32979E+01
-0.30000E+01  0.32416E+01
-0.31000E+01  0.32014E+01
-0.32000E+01  0.31770E+01
-0.33000E+01  0.31671E+01
-0.34000E+01  0.31703E+01
-0.35000E+01  0.31848E+01
-0.36000E+01  0.32087E+01
-0.37000E+01  0.32400E+01
-0.38000E+01  0.32766E+01
-0.39000E+01  0.33171E+01
-0.40000E+01  0.33599E+01
-0.41000E+01  0.34038E+01
-0.42000E+01  0.34478E+01
-0.43000E+01  0.34911E+01
-0.44000E+01  0.35329E+01
-0.45000E+01  0.35728E+01
-0.46000E+01  0.36102E+01
-0.47000E+01  0.36449E+01
-0.48000E+01  0.36766E+01
-0.49000E+01  0.37051E+01
-0.50000E+01  0.37305E+01
-0.51000E+01  0.37528E+01
-0.52000E+01  0.37722E+01
-0.53000E+01  0.37887E+01
-0.54000E+01  0.38028E+01
-0.55000E+01  0.38146E+01
-0.56000E+01  0.38244E+01
-0.57000E+01  0.38325E+01
-0.58000E+01  0.38392E+01
-0.59000E+01  0.38446E+01
-0.60000E+01  0.38490E+01
-0.61000E+01  0.38526E+01
-0.62000E+01  0.38555E+01
-0.63000E+01  0.38578E+01
-0.64000E+01  0.38596E+01
-0.65000E+01  0.38611E+01
-0.66000E+01  0.38623E+01
-0.67000E+01  0.38632E+01
-0.68000E+01  0.38640E+01
-0.69000E+01  0.38646E+01
-0.70000E+01  0.38651E+01
-0.71000E+01  0.38654E+01
-0.72000E+01  0.38657E+01
-0.73000E+01  0.38660E+01
-0.74000E+01  0.38662E+01
-0.75000E+01  0.38663E+01
-0.76000E+01  0.38664E+01
-0.77000E+01  0.38665E+01
-0.78000E+01  0.38666E+01
