 zone T = "Var            1 : Implicit",
 0.00000E+00  0.39067E+01
-0.10000E+00  0.39199E+01
-0.20000E+00  0.39478E+01
-0.30000E+00  0.40204E+01
-0.40000E+00  0.41209E+01
-0.50000E+00  0.39032E+01
-0.60000E+00  0.35936E+01
-0.70000E+00  0.31955E+01
-0.80000E+00  0.31897E+01
-0.90000E+00  0.32385E+01
-0.10000E+01  0.33094E+01
-0.11000E+01  0.34045E+01
-0.12000E+01  0.34617E+01
-0.13000E+01  0.35070E+01
-0.14000E+01  0.35346E+01
-0.15000E+01  0.35500E+01
-0.16000E+01  0.35217E+01
-0.17000E+01  0.34886E+01
-0.18000E+01  0.34103E+01
-0.19000E+01  0.33273E+01
-0.20000E+01  0.30944E+01
-0.21000E+01  0.29974E+01
-0.22000E+01  0.26504E+01
-0.23000E+01  0.26180E+01
-0.24000E+01  0.25666E+01
-0.25000E+01  0.25221E+01
-0.26000E+01  0.24942E+01
-0.27000E+01  0.24969E+01
-0.28000E+01  0.25315E+01
-0.29000E+01  0.25753E+01
-0.30000E+01  0.26247E+01
-0.31000E+01  0.26807E+01
-0.32000E+01  0.27453E+01
-0.33000E+01  0.28151E+01
-0.34000E+01  0.28930E+01
-0.35000E+01  0.29745E+01
-0.36000E+01  0.30605E+01
-0.37000E+01  0.31496E+01
-0.38000E+01  0.32362E+01
-0.39000E+01  0.33249E+01
-0.40000E+01  0.34118E+01
-0.41000E+01  0.34972E+01
-0.42000E+01  0.35820E+01
-0.43000E+01  0.36636E+01
-0.44000E+01  0.37440E+01
-0.45000E+01  0.38195E+01
-0.46000E+01  0.38927E+01
-0.47000E+01  0.39601E+01
-0.48000E+01  0.40237E+01
-0.49000E+01  0.40805E+01
-0.50000E+01  0.41312E+01
-0.51000E+01  0.41740E+01
-0.52000E+01  0.42069E+01
-0.53000E+01  0.42289E+01
-0.54000E+01  0.42372E+01
-0.55000E+01  0.42254E+01
-0.56000E+01  0.41766E+01
-0.57000E+01  0.41113E+01
-0.58000E+01  0.40776E+01
-0.59000E+01  0.40557E+01
-0.60000E+01  0.40403E+01
-0.61000E+01  0.40289E+01
-0.62000E+01  0.40205E+01
-0.63000E+01  0.40140E+01
-0.64000E+01  0.40091E+01
-0.65000E+01  0.40053E+01
-0.66000E+01  0.40022E+01
-0.67000E+01  0.39997E+01
-0.68000E+01  0.39979E+01
-0.69000E+01  0.39964E+01
-0.70000E+01  0.39954E+01
-0.71000E+01  0.39945E+01
-0.72000E+01  0.39938E+01
-0.73000E+01  0.39933E+01
-0.74000E+01  0.39928E+01
-0.75000E+01  0.39923E+01
-0.76000E+01  0.39922E+01
-0.77000E+01  0.39919E+01
-0.78000E+01  0.39917E+01
-0.79000E+01  0.39915E+01
-0.80000E+01  0.39914E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.98871E+00
-0.10000E+00  0.98672E+00
-0.20000E+00  0.98416E+00
-0.30000E+00  0.98117E+00
-0.40000E+00  0.97779E+00
-0.50000E+00  0.97629E+00
-0.60000E+00  0.97718E+00
-0.70000E+00  0.98006E+00
-0.80000E+00  0.98370E+00
-0.90000E+00  0.98769E+00
-0.10000E+01  0.99161E+00
-0.11000E+01  0.99520E+00
-0.12000E+01  0.99834E+00
-0.13000E+01  0.10009E+01
-0.14000E+01  0.10030E+01
-0.15000E+01  0.10045E+01
-0.16000E+01  0.10055E+01
-0.17000E+01  0.10061E+01
-0.18000E+01  0.10065E+01
-0.19000E+01  0.10066E+01
-0.20000E+01  0.10066E+01
-0.21000E+01  0.10064E+01
-0.22000E+01  0.10062E+01
-0.23000E+01  0.10059E+01
-0.24000E+01  0.10057E+01
-0.25000E+01  0.10055E+01
-0.26000E+01  0.10052E+01
-0.27000E+01  0.10050E+01
-0.28000E+01  0.10049E+01
-0.29000E+01  0.10047E+01
-0.30000E+01  0.10046E+01
-0.31000E+01  0.10045E+01
-0.32000E+01  0.10045E+01
-0.33000E+01  0.10044E+01
-0.34000E+01  0.10043E+01
-0.35000E+01  0.10043E+01
-0.36000E+01  0.10043E+01
-0.37000E+01  0.10042E+01
-0.38000E+01  0.10042E+01
-0.39000E+01  0.10042E+01
-0.40000E+01  0.10042E+01
-0.41000E+01  0.10042E+01
-0.42000E+01  0.10042E+01
-0.43000E+01  0.10042E+01
-0.44000E+01  0.10042E+01
-0.45000E+01  0.10042E+01
-0.46000E+01  0.10042E+01
-0.47000E+01  0.10042E+01
-0.48000E+01  0.10042E+01
-0.49000E+01  0.10042E+01
-0.50000E+01  0.10042E+01
-0.51000E+01  0.10042E+01
-0.52000E+01  0.10042E+01
-0.53000E+01  0.10042E+01
-0.54000E+01  0.10042E+01
-0.55000E+01  0.10042E+01
-0.56000E+01  0.10042E+01
-0.57000E+01  0.10042E+01
-0.58000E+01  0.10042E+01
-0.59000E+01  0.10042E+01
-0.60000E+01  0.10042E+01
-0.61000E+01  0.10042E+01
-0.62000E+01  0.10042E+01
-0.63000E+01  0.10042E+01
-0.64000E+01  0.10042E+01
-0.65000E+01  0.10042E+01
-0.66000E+01  0.10042E+01
-0.67000E+01  0.10042E+01
-0.68000E+01  0.10042E+01
-0.69000E+01  0.10042E+01
-0.70000E+01  0.10042E+01
-0.71000E+01  0.10042E+01
-0.72000E+01  0.10042E+01
-0.73000E+01  0.10042E+01
-0.74000E+01  0.10042E+01
-0.75000E+01  0.10042E+01
-0.76000E+01  0.10042E+01
-0.77000E+01  0.10042E+01
-0.78000E+01  0.10042E+01
-0.79000E+01  0.10042E+01
-0.80000E+01  0.10042E+01
 zone T = "Var            2 : Implicit",
 0.00000E+00  0.36739E+01
-0.10000E+00  0.37789E+01
-0.20000E+00  0.37978E+01
-0.30000E+00  0.37937E+01
-0.40000E+00  0.37692E+01
-0.50000E+00  0.36992E+01
-0.60000E+00  0.35268E+01
-0.70000E+00  0.31969E+01
-0.80000E+00  0.35818E+01
-0.90000E+00  0.38068E+01
-0.10000E+01  0.35038E+01
-0.11000E+01  0.33061E+01
-0.12000E+01  0.31075E+01
-0.13000E+01  0.29594E+01
-0.14000E+01  0.28291E+01
-0.15000E+01  0.26733E+01
-0.16000E+01  0.24255E+01
-0.17000E+01  0.23935E+01
-0.18000E+01  0.22985E+01
-0.19000E+01  0.21119E+01
-0.20000E+01  0.21975E+01
-0.21000E+01  0.21140E+01
-0.22000E+01  0.21139E+01
-0.23000E+01  0.20465E+01
-0.24000E+01  0.20535E+01
-0.25000E+01  0.20995E+01
-0.26000E+01  0.21203E+01
-0.27000E+01  0.22401E+01
-0.28000E+01  0.23558E+01
-0.29000E+01  0.24725E+01
-0.30000E+01  0.25392E+01
-0.31000E+01  0.25624E+01
-0.32000E+01  0.26867E+01
-0.33000E+01  0.27979E+01
-0.34000E+01  0.28742E+01
-0.35000E+01  0.29121E+01
-0.36000E+01  0.30420E+01
-0.37000E+01  0.29995E+01
-0.38000E+01  0.30715E+01
-0.39000E+01  0.30269E+01
-0.40000E+01  0.30205E+01
-0.41000E+01  0.30725E+01
-0.42000E+01  0.30964E+01
-0.43000E+01  0.31431E+01
-0.44000E+01  0.32032E+01
-0.45000E+01  0.32781E+01
-0.46000E+01  0.33100E+01
-0.47000E+01  0.34456E+01
-0.48000E+01  0.33466E+01
-0.49000E+01  0.33416E+01
-0.50000E+01  0.33644E+01
-0.51000E+01  0.34694E+01
-0.52000E+01  0.34017E+01
-0.53000E+01  0.33651E+01
-0.54000E+01  0.33594E+01
-0.55000E+01  0.33770E+01
-0.56000E+01  0.33340E+01
-0.57000E+01  0.33179E+01
-0.58000E+01  0.33078E+01
-0.59000E+01  0.33007E+01
-0.60000E+01  0.32956E+01
-0.61000E+01  0.32918E+01
-0.62000E+01  0.32889E+01
-0.63000E+01  0.32866E+01
-0.64000E+01  0.32849E+01
-0.65000E+01  0.32836E+01
-0.66000E+01  0.32825E+01
-0.67000E+01  0.32817E+01
-0.68000E+01  0.32810E+01
-0.69000E+01  0.32805E+01
-0.70000E+01  0.32801E+01
-0.71000E+01  0.32798E+01
-0.72000E+01  0.32795E+01
-0.73000E+01  0.32792E+01
-0.74000E+01  0.32793E+01
-0.75000E+01  0.32791E+01
-0.76000E+01  0.32789E+01
-0.77000E+01  0.32788E+01
-0.78000E+01  0.32790E+01
-0.79000E+01  0.32787E+01
-0.80000E+01  0.32782E+01
 zone T = "Var            2 : Predicted",
 0.00000E+00  0.98680E+00
-0.10000E+00  0.98115E+00
-0.20000E+00  0.97435E+00
-0.30000E+00  0.96742E+00
-0.40000E+00  0.95922E+00
-0.50000E+00  0.95037E+00
-0.60000E+00  0.94052E+00
-0.70000E+00  0.92985E+00
-0.80000E+00  0.92070E+00
-0.90000E+00  0.91279E+00
