 zone T = "Var  1 : Implicit",
 0.00000E+00  0.41299E+01
-0.10000E+00  0.41046E+01
-0.20000E+00  0.40847E+01
-0.30000E+00  0.40661E+01
-0.40000E+00  0.40470E+01
-0.50000E+00  0.40263E+01
-0.60000E+00  0.40030E+01
-0.70000E+00  0.39761E+01
-0.80000E+00  0.39449E+01
-0.90000E+00  0.39090E+01
-0.10000E+01  0.38679E+01
-0.11000E+01  0.38220E+01
-0.12000E+01  0.37724E+01
-0.13000E+01  0.37201E+01
-0.14000E+01  0.36663E+01
-0.15000E+01  0.36126E+01
-0.16000E+01  0.35588E+01
-0.17000E+01  0.35020E+01
-0.18000E+01  0.34410E+01
-0.19000E+01  0.33773E+01
-0.20000E+01  0.33096E+01
-0.21000E+01  0.32352E+01
-0.22000E+01  0.31545E+01
-0.23000E+01  0.30713E+01
-0.24000E+01  0.29904E+01
-0.25000E+01  0.29170E+01
-0.26000E+01  0.28531E+01
-0.27000E+01  0.27976E+01
-0.28000E+01  0.27487E+01
-0.29000E+01  0.27043E+01
-0.30000E+01  0.26616E+01
-0.31000E+01  0.26228E+01
-0.32000E+01  0.25940E+01
-0.33000E+01  0.25767E+01
-0.34000E+01  0.25662E+01
-0.35000E+01  0.25570E+01
-0.36000E+01  0.25539E+01
-0.37000E+01  0.25641E+01
-0.38000E+01  0.25892E+01
-0.39000E+01  0.26276E+01
-0.40000E+01  0.26770E+01
-0.41000E+01  0.27350E+01
-0.42000E+01  0.27998E+01
-0.43000E+01  0.28696E+01
-0.44000E+01  0.29434E+01
-0.45000E+01  0.30203E+01
-0.46000E+01  0.31001E+01
-0.47000E+01  0.31835E+01
-0.48000E+01  0.32735E+01
-0.49000E+01  0.33881E+01
-0.50000E+01  0.34490E+01
-0.51000E+01  0.35136E+01
-0.52000E+01  0.35737E+01
-0.53000E+01  0.36043E+01
-0.54000E+01  0.36565E+01
-0.55000E+01  0.37221E+01
-0.56000E+01  0.38125E+01
-0.57000E+01  0.39187E+01
-0.58000E+01  0.39586E+01
-0.59000E+01  0.40708E+01
-0.60000E+01  0.39004E+01
-0.61000E+01  0.38604E+01
-0.62000E+01  0.38399E+01
-0.63000E+01  0.38301E+01
-0.64000E+01  0.38270E+01
-0.65000E+01  0.38218E+01
-0.66000E+01  0.38212E+01
-0.67000E+01  0.38123E+01
-0.68000E+01  0.38086E+01
-0.69000E+01  0.38103E+01
-0.70000E+01  0.38082E+01
-0.71000E+01  0.38259E+01
-0.72000E+01  0.38055E+01
