 zone T = "Var            1 : Implicit",
 0.00000E+00  0.39707E+01
-0.10000E+00  0.39769E+01
-0.20000E+00  0.39790E+01
-0.30000E+00  0.39722E+01
-0.40000E+00  0.39500E+01
-0.50000E+00  0.39112E+01
-0.60000E+00  0.37926E+01
-0.70000E+00  0.38342E+01
-0.80000E+00  0.37837E+01
-0.90000E+00  0.37322E+01
-0.10000E+01  0.36782E+01
-0.11000E+01  0.36219E+01
-0.12000E+01  0.35643E+01
-0.13000E+01  0.35062E+01
-0.14000E+01  0.34483E+01
-0.15000E+01  0.33907E+01
-0.16000E+01  0.33334E+01
-0.17000E+01  0.32764E+01
-0.18000E+01  0.32202E+01
-0.19000E+01  0.31658E+01
-0.20000E+01  0.31142E+01
-0.21000E+01  0.30666E+01
-0.22000E+01  0.30243E+01
-0.23000E+01  0.29883E+01
-0.24000E+01  0.29595E+01
-0.25000E+01  0.29384E+01
-0.26000E+01  0.29253E+01
-0.27000E+01  0.29205E+01
-0.28000E+01  0.29238E+01
-0.29000E+01  0.29349E+01
-0.30000E+01  0.29536E+01
-0.31000E+01  0.29792E+01
-0.32000E+01  0.30114E+01
-0.33000E+01  0.30494E+01
-0.34000E+01  0.30926E+01
-0.35000E+01  0.31401E+01
-0.36000E+01  0.31911E+01
-0.37000E+01  0.32447E+01
-0.38000E+01  0.33001E+01
-0.39000E+01  0.33566E+01
-0.40000E+01  0.34135E+01
-0.41000E+01  0.34701E+01
-0.42000E+01  0.35260E+01
-0.43000E+01  0.35807E+01
-0.44000E+01  0.36338E+01
-0.45000E+01  0.36849E+01
-0.46000E+01  0.37338E+01
-0.47000E+01  0.37801E+01
-0.48000E+01  0.38237E+01
-0.49000E+01  0.38642E+01
-0.50000E+01  0.39018E+01
-0.51000E+01  0.39362E+01
-0.52000E+01  0.39673E+01
-0.53000E+01  0.39952E+01
-0.54000E+01  0.40201E+01
-0.55000E+01  0.40419E+01
-0.56000E+01  0.40609E+01
-0.57000E+01  0.40772E+01
-0.58000E+01  0.40911E+01
-0.59000E+01  0.41029E+01
-0.60000E+01  0.41128E+01
-0.61000E+01  0.41209E+01
-0.62000E+01  0.41277E+01
-0.63000E+01  0.41332E+01
-0.64000E+01  0.41377E+01
-0.65000E+01  0.41414E+01
-0.66000E+01  0.41443E+01
-0.67000E+01  0.41466E+01
-0.68000E+01  0.41486E+01
-0.69000E+01  0.41501E+01
-0.70000E+01  0.41513E+01
-0.71000E+01  0.41523E+01
-0.72000E+01  0.41531E+01
-0.73000E+01  0.41538E+01
-0.74000E+01  0.41542E+01
-0.75000E+01  0.41546E+01
-0.76000E+01  0.41550E+01
-0.77000E+01  0.41552E+01
-0.78000E+01  0.41554E+01
-0.79000E+01  0.41555E+01
-0.80000E+01  0.41556E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.39301E+01
-0.10000E+00  0.39207E+01
-0.20000E+00  0.39077E+01
-0.30000E+00  0.38910E+01
-0.40000E+00  0.38700E+01
-0.50000E+00  0.38443E+01
-0.60000E+00  0.38132E+01
-0.70000E+00  0.37763E+01
