 zone T = "Var            1 : Implicit",
 0.00000E+00  0.39182E+01
-0.10000E+00  0.39073E+01
-0.20000E+00  0.38967E+01
-0.30000E+00  0.38836E+01
-0.40000E+00  0.38577E+01
-0.50000E+00  0.38136E+01
-0.60000E+00  0.37428E+01
-0.70000E+00  0.36355E+01
-0.80000E+00  0.34932E+01
-0.90000E+00  0.33078E+01
-0.10000E+01  0.31772E+01
-0.11000E+01  0.30419E+01
-0.12000E+01  0.28248E+01
-0.13000E+01  0.27388E+01
-0.14000E+01  0.26097E+01
-0.15000E+01  0.25862E+01
-0.16000E+01  0.31652E+01
-0.17000E+01  0.23303E+01
-0.18000E+01  0.23052E+01
-0.19000E+01  0.29374E+01
-0.20000E+01  0.29304E+01
-0.21000E+01  0.26659E+01
-0.22000E+01  0.26397E+01
-0.23000E+01  0.26729E+01
-0.24000E+01  0.24486E+01
-0.25000E+01  0.24539E+01
-0.26000E+01  0.24816E+01
-0.27000E+01  0.25395E+01
-0.28000E+01  0.28051E+01
-0.29000E+01  0.26507E+01
-0.30000E+01  0.27663E+01
-0.31000E+01  0.28781E+01
-0.32000E+01  0.30547E+01
-0.33000E+01  0.30330E+01
-0.34000E+01  0.33566E+01
-0.35000E+01  0.34840E+01
-0.36000E+01  0.36072E+01
-0.37000E+01  0.36152E+01
-0.38000E+01  0.36659E+01
-0.39000E+01  0.36360E+01
-0.40000E+01  0.36372E+01
-0.41000E+01  0.37531E+01
-0.42000E+01  0.37476E+01
-0.43000E+01  0.36693E+01
-0.44000E+01  0.37535E+01
-0.45000E+01  0.36149E+01
-0.46000E+01  0.35820E+01
-0.47000E+01  0.35651E+01
-0.48000E+01  0.35528E+01
-0.49000E+01  0.35449E+01
-0.50000E+01  0.35394E+01
-0.51000E+01  0.35356E+01
-0.52000E+01  0.35324E+01
-0.53000E+01  0.35299E+01
-0.54000E+01  0.35285E+01
-0.55000E+01  0.35274E+01
-0.56000E+01  0.35257E+01
-0.57000E+01  0.35249E+01
-0.58000E+01  0.35246E+01
-0.59000E+01  0.35240E+01
-0.60000E+01  0.35232E+01
-0.61000E+01  0.35236E+01
-0.62000E+01  0.35232E+01
-0.63000E+01  0.35234E+01
-0.64000E+01  0.35224E+01
-0.65000E+01  0.35228E+01
-0.66000E+01  0.35223E+01
-0.67000E+01  0.35227E+01
-0.68000E+01  0.35226E+01
-0.69000E+01  0.35222E+01
-0.70000E+01  0.35227E+01
-0.71000E+01  0.35223E+01
-0.72000E+01  0.35226E+01
-0.73000E+01  0.35223E+01
-0.74000E+01  0.35225E+01
-0.75000E+01  0.35223E+01
-0.76000E+01  0.35223E+01
-0.77000E+01  0.35224E+01
-0.78000E+01  0.35221E+01
-0.79000E+01  0.35226E+01
-0.80000E+01  0.35220E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.24219E+01
-0.10000E+00  0.24060E+01
-0.20000E+00  0.23881E+01
-0.30000E+00  0.23680E+01
-0.40000E+00  0.23464E+01
-0.50000E+00  0.23241E+01
-0.60000E+00  0.23011E+01
-0.70000E+00  0.22784E+01
-0.80000E+00  0.22571E+01
-0.90000E+00  0.22368E+01
-0.10000E+01  0.22175E+01
-0.11000E+01  0.21998E+01
-0.12000E+01  0.21838E+01
-0.13000E+01  0.21687E+01
-0.14000E+01  0.21546E+01
-0.15000E+01  0.21420E+01
-0.16000E+01  0.25684E+01
-0.17000E+01  0.21221E+01
-0.18000E+01  0.21150E+01
-0.19000E+01  0.24238E+01
-0.20000E+01  0.24749E+01
-0.21000E+01  0.22732E+01
-0.22000E+01  0.22645E+01
-0.23000E+01  0.22848E+01
-0.24000E+01  0.21051E+01
-0.25000E+01  0.21044E+01
-0.26000E+01  0.21034E+01
-0.27000E+01  0.21023E+01
-0.28000E+01  0.22442E+01
-0.29000E+01  0.20995E+01
-0.30000E+01  0.20982E+01
-0.31000E+01  0.20970E+01
-0.32000E+01  0.20960E+01
-0.33000E+01  0.20953E+01
-0.34000E+01  0.22416E+01
-0.35000E+01  0.22337E+01
-0.36000E+01  0.22698E+01
-0.37000E+01  0.22689E+01
-0.38000E+01  0.22673E+01
-0.39000E+01  0.22493E+01
-0.40000E+01  0.22491E+01
-0.41000E+01  0.22489E+01
-0.42000E+01  0.22487E+01
-0.43000E+01  0.22488E+01
-0.44000E+01  0.22485E+01
-0.45000E+01  0.22484E+01
-0.46000E+01  0.22480E+01
-0.47000E+01  0.22479E+01
-0.48000E+01  0.22479E+01
-0.49000E+01  0.22479E+01
-0.50000E+01  0.22479E+01
-0.51000E+01  0.22478E+01
-0.52000E+01  0.22478E+01
-0.53000E+01  0.22478E+01
