 zone T = "Var  1 : Implicit",
 0.00000E+00  0.39872E+01
-0.10000E+00  0.39937E+01
-0.20000E+00  0.40041E+01
-0.30000E+00  0.40190E+01
-0.40000E+00  0.40333E+01
-0.50000E+00  0.40447E+01
-0.60000E+00  0.40481E+01
-0.70000E+00  0.40331E+01
-0.80000E+00  0.40028E+01
-0.90000E+00  0.39698E+01
-0.10000E+01  0.39483E+01
-0.11000E+01  0.39473E+01
-0.12000E+01  0.39758E+01
-0.13000E+01  0.40524E+01
-0.14000E+01  0.42574E+01
-0.15000E+01  0.42990E+01
-0.16000E+01  0.42651E+01
-0.17000E+01  0.39992E+01
-0.18000E+01  0.37927E+01
-0.19000E+01  0.36703E+01
-0.20000E+01  0.35895E+01
-0.21000E+01  0.35307E+01
-0.22000E+01  0.35127E+01
-0.23000E+01  0.35046E+01
-0.24000E+01  0.35187E+01
-0.25000E+01  0.36002E+01
-0.26000E+01  0.35845E+01
-0.27000E+01  0.36134E+01
-0.28000E+01  0.37017E+01
-0.29000E+01  0.37459E+01
-0.30000E+01  0.37869E+01
-0.31000E+01  0.38172E+01
-0.32000E+01  0.38170E+01
-0.33000E+01  0.37244E+01
-0.34000E+01  0.37155E+01
-0.35000E+01  0.37325E+01
-0.36000E+01  0.37639E+01
-0.37000E+01  0.38032E+01
-0.38000E+01  0.38489E+01
-0.39000E+01  0.38978E+01
-0.40000E+01  0.39491E+01
-0.41000E+01  0.40017E+01
-0.42000E+01  0.40549E+01
-0.43000E+01  0.41087E+01
-0.44000E+01  0.41642E+01
-0.45000E+01  0.42185E+01
-0.46000E+01  0.42724E+01
-0.47000E+01  0.43237E+01
-0.48000E+01  0.43831E+01
-0.49000E+01  0.44404E+01
-0.50000E+01  0.44995E+01
-0.51000E+01  0.45606E+01
-0.52000E+01  0.46534E+01
-0.53000E+01  0.47366E+01
-0.54000E+01  0.47548E+01
-0.55000E+01  0.47748E+01
-0.56000E+01  0.47286E+01
-0.57000E+01  0.47339E+01
-0.58000E+01  0.47579E+01
-0.59000E+01  0.47508E+01
-0.60000E+01  0.47089E+01
-0.61000E+01  0.47265E+01
-0.62000E+01  0.47119E+01
-0.63000E+01  0.47188E+01
-0.64000E+01  0.46980E+01
-0.65000E+01  0.47066E+01
-0.66000E+01  0.46967E+01
-0.67000E+01  0.47070E+01
-0.68000E+01  0.47055E+01
-0.69000E+01  0.46983E+01
-0.70000E+01  0.47073E+01
-0.71000E+01  0.46993E+01
-0.72000E+01  0.47046E+01
-0.73000E+01  0.46998E+01
-0.74000E+01  0.47040E+01
-0.75000E+01  0.47009E+01
-0.76000E+01  0.47013E+01
-0.77000E+01  0.47020E+01
-0.78000E+01  0.46974E+01
-0.79000E+01  0.47057E+01
-0.80000E+01  0.46977E+01
 zone T = "Var  1 : Predicted",
 0.00000E+00  0.25803E+01
-0.10000E+00  0.25738E+01
-0.20000E+00  0.25666E+01
-0.30000E+00  0.25586E+01
-0.40000E+00  0.25502E+01
-0.50000E+00  0.25417E+01
