 zone T = "Var  1 : Implicit",
 0.00000E+00  0.40269E+01
-0.10000E+00  0.40035E+01
-0.20000E+00  0.39784E+01
-0.30000E+00  0.39510E+01
-0.40000E+00  0.39206E+01
-0.50000E+00  0.38864E+01
-0.60000E+00  0.38478E+01
-0.70000E+00  0.38041E+01
-0.80000E+00  0.37546E+01
-0.90000E+00  0.36986E+01
-0.10000E+01  0.36360E+01
-0.11000E+01  0.35668E+01
-0.12000E+01  0.34918E+01
-0.13000E+01  0.34118E+01
-0.14000E+01  0.33275E+01
-0.15000E+01  0.32407E+01
-0.16000E+01  0.31517E+01
-0.17000E+01  0.30574E+01
-0.18000E+01  0.29576E+01
-0.19000E+01  0.28548E+01
-0.20000E+01  0.27477E+01
-0.21000E+01  0.26333E+01
-0.22000E+01  0.25124E+01
-0.23000E+01  0.23886E+01
-0.24000E+01  0.22671E+01
-0.25000E+01  0.21529E+01
-0.26000E+01  0.20473E+01
-0.27000E+01  0.19476E+01
-0.28000E+01  0.18517E+01
-0.29000E+01  0.17597E+01
-0.30000E+01  0.16720E+01
-0.31000E+01  0.15906E+01
-0.32000E+01  0.15192E+01
-0.33000E+01  0.14586E+01
-0.34000E+01  0.14038E+01
-0.35000E+01  0.13515E+01
-0.36000E+01  0.13064E+01
-0.37000E+01  0.12739E+01
-0.38000E+01  0.12551E+01
-0.39000E+01  0.12490E+01
-0.40000E+01  0.12537E+01
-0.41000E+01  0.12676E+01
-0.42000E+01  0.12894E+01
-0.43000E+01  0.13179E+01
-0.44000E+01  0.13521E+01
-0.45000E+01  0.13911E+01
-0.46000E+01  0.14344E+01
-0.47000E+01  0.14812E+01
-0.48000E+01  0.15312E+01
-0.49000E+01  0.15840E+01
-0.50000E+01  0.16392E+01
-0.51000E+01  0.16964E+01
-0.52000E+01  0.17555E+01
-0.53000E+01  0.18162E+01
-0.54000E+01  0.18784E+01
-0.55000E+01  0.19418E+01
-0.56000E+01  0.20063E+01
-0.57000E+01  0.20717E+01
-0.58000E+01  0.21381E+01
-0.59000E+01  0.22051E+01
-0.60000E+01  0.22728E+01
-0.61000E+01  0.23409E+01
-0.62000E+01  0.24094E+01
-0.63000E+01  0.24783E+01
-0.64000E+01  0.25473E+01
-0.65000E+01  0.26164E+01
-0.66000E+01  0.26854E+01
-0.67000E+01  0.27546E+01
-0.68000E+01  0.28233E+01
-0.69000E+01  0.28925E+01
-0.70000E+01  0.29606E+01
-0.71000E+01  0.30292E+01
-0.72000E+01  0.30982E+01
-0.73000E+01  0.31663E+01
-0.74000E+01  0.32374E+01
-0.75000E+01  0.33025E+01
-0.76000E+01  0.33764E+01
-0.77000E+01  0.34427E+01
-0.78000E+01  0.35820E+01
-0.79000E+01  0.36360E+01
-0.80000E+01  0.37114E+01
 zone T = "Var  1 : Predicted",
 0.00000E+00  0.20955E+01
-0.10000E+00  0.20954E+01
-0.20000E+00  0.20953E+01
-0.30000E+00  0.20952E+01
-0.40000E+00  0.20951E+01
-0.50000E+00  0.20951E+01
-0.60000E+00  0.20952E+01
-0.70000E+00  0.20956E+01
-0.80000E+00  0.20963E+01
-0.90000E+00  0.20977E+01
-0.10000E+01  0.21001E+01
-0.11000E+01  0.21037E+01
-0.12000E+01  0.21088E+01
-0.13000E+01  0.21158E+01
-0.14000E+01  0.21246E+01
-0.15000E+01  0.21352E+01
