 zone T = "Var  1 : Implicit",
 0.00000E+00  0.39836E+01
-0.10000E+00  0.39897E+01
-0.20000E+00  0.40018E+01
-0.30000E+00  0.40231E+01
-0.40000E+00  0.40496E+01
-0.50000E+00  0.40902E+01
-0.60000E+00  0.41641E+01
-0.70000E+00  0.43365E+01
-0.80000E+00  0.44206E+01
-0.90000E+00  0.39188E+01
-0.10000E+01  0.37057E+01
-0.11000E+01  0.34007E+01
-0.12000E+01  0.33752E+01
-0.13000E+01  0.34803E+01
-0.14000E+01  0.34956E+01
-0.15000E+01  0.36874E+01
-0.16000E+01  0.39182E+01
-0.17000E+01  0.40866E+01
-0.18000E+01  0.41306E+01
-0.19000E+01  0.39613E+01
-0.20000E+01  0.37113E+01
-0.21000E+01  0.35946E+01
-0.22000E+01  0.35157E+01
-0.23000E+01  0.34536E+01
-0.24000E+01  0.34078E+01
-0.25000E+01  0.33818E+01
-0.26000E+01  0.33704E+01
-0.27000E+01  0.33875E+01
-0.28000E+01  0.34018E+01
-0.29000E+01  0.34334E+01
-0.30000E+01  0.34605E+01
-0.31000E+01  0.35181E+01
-0.32000E+01  0.35810E+01
-0.33000E+01  0.36414E+01
-0.34000E+01  0.36972E+01
-0.35000E+01  0.37840E+01
-0.36000E+01  0.38298E+01
-0.37000E+01  0.38917E+01
-0.38000E+01  0.39122E+01
-0.39000E+01  0.39533E+01
-0.40000E+01  0.39781E+01
-0.41000E+01  0.40046E+01
-0.42000E+01  0.40208E+01
-0.43000E+01  0.41803E+01
-0.44000E+01  0.38867E+01
-0.45000E+01  0.38395E+01
-0.46000E+01  0.38102E+01
-0.47000E+01  0.37905E+01
-0.48000E+01  0.37751E+01
-0.49000E+01  0.37643E+01
-0.50000E+01  0.37561E+01
-0.51000E+01  0.37501E+01
-0.52000E+01  0.37451E+01
-0.53000E+01  0.37412E+01
-0.54000E+01  0.37385E+01
-0.55000E+01  0.37364E+01
-0.56000E+01  0.37340E+01
-0.57000E+01  0.37326E+01
-0.58000E+01  0.37318E+01
-0.59000E+01  0.37308E+01
-0.60000E+01  0.37297E+01
-0.61000E+01  0.37298E+01
-0.62000E+01  0.37292E+01
-0.63000E+01  0.37291E+01
-0.64000E+01  0.37282E+01
-0.65000E+01  0.37284E+01
-0.66000E+01  0.37279E+01
-0.67000E+01  0.37282E+01
-0.68000E+01  0.37281E+01
-0.69000E+01  0.37276E+01
-0.70000E+01  0.37280E+01
-0.71000E+01  0.37276E+01
-0.72000E+01  0.37278E+01
-0.73000E+01  0.37276E+01
-0.74000E+01  0.37278E+01
-0.75000E+01  0.37276E+01
-0.76000E+01  0.37276E+01
-0.77000E+01  0.37276E+01
-0.78000E+01  0.37273E+01
-0.79000E+01  0.37278E+01
-0.80000E+01  0.37273E+01
 zone T = "Var  1 : Predicted",
 0.00000E+00  0.40490E+01
-0.10000E+00  0.40285E+01
-0.20000E+00  0.40011E+01
-0.30000E+00  0.39679E+01
-0.40000E+00  0.39293E+01
-0.50000E+00  0.38866E+01
-0.60000E+00  0.38410E+01
-0.70000E+00  0.37940E+01
-0.80000E+00  0.37470E+01
