 zone T = "Var            1 : Implicit",
 0.00000E+00  0.23396E+01
-0.10000E+00  0.16409E-05
-0.20000E+00  0.77794E-06
-0.30000E+00  0.49848E-06
-0.40000E+00  0.36449E-06
-0.50000E+00  0.28842E-06
-0.60000E+00  0.24104E-06
-0.70000E+00  0.20979E-06
-0.80000E+00  0.18836E-06
-0.90000E+00  0.17321E-06
-0.10000E+01  0.16222E-06
-0.11000E+01  0.15410E-06
-0.12000E+01  0.14800E-06
-0.13000E+01  0.14336E-06
-0.14000E+01  0.13979E-06
-0.15000E+01  0.13703E-06
-0.16000E+01  0.13488E-06
-0.17000E+01  0.13321E-06
-0.18000E+01  0.13189E-06
-0.19000E+01  0.13086E-06
-0.20000E+01  0.13004E-06
-0.21000E+01  0.12940E-06
-0.22000E+01  0.12889E-06
-0.23000E+01  0.12849E-06
-0.24000E+01  0.12817E-06
-0.25000E+01  0.12792E-06
-0.26000E+01  0.12772E-06
-0.27000E+01  0.12756E-06
-0.28000E+01  0.12743E-06
-0.29000E+01  0.12733E-06
-0.30000E+01  0.12725E-06
-0.31000E+01  0.12719E-06
-0.32000E+01  0.12714E-06
-0.33000E+01  0.12710E-06
-0.34000E+01  0.12707E-06
-0.35000E+01  0.12704E-06
-0.36000E+01  0.12702E-06
-0.37000E+01  0.12701E-06
-0.38000E+01  0.12699E-06
-0.39000E+01  0.12698E-06
-0.40000E+01  0.12698E-06
-0.41000E+01  0.12697E-06
-0.42000E+01  0.12697E-06
-0.43000E+01  0.12696E-06
-0.44000E+01  0.12696E-06
-0.45000E+01  0.12696E-06
-0.46000E+01  0.12695E-06
-0.47000E+01  0.12695E-06
-0.48000E+01  0.12695E-06
-0.49000E+01  0.12695E-06
-0.50000E+01  0.12695E-06
-0.51000E+01  0.12695E-06
-0.52000E+01  0.12695E-06
-0.53000E+01  0.12695E-06
-0.54000E+01  0.12695E-06
-0.55000E+01  0.12695E-06
-0.56000E+01  0.12695E-06
-0.57000E+01  0.12695E-06
-0.58000E+01  0.12695E-06
-0.59000E+01  0.12695E-06
-0.60000E+01  0.12695E-06
