 zone T = "Var            1 : Implicit",
 0.00000E+00  0.40524E+01
-0.10000E+00  0.40470E+01
-0.20000E+00  0.40672E+01
-0.30000E+00  0.41096E+01
-0.40000E+00  0.41373E+01
-0.50000E+00  0.41697E+01
-0.60000E+00  0.42158E+01
-0.70000E+00  0.42539E+01
-0.80000E+00  0.42773E+01
-0.90000E+00  0.42660E+01
-0.10000E+01  0.42179E+01
-0.11000E+01  0.41180E+01
-0.12000E+01  0.39538E+01
-0.13000E+01  0.37421E+01
-0.14000E+01  0.34950E+01
-0.15000E+01  0.34151E+01
-0.16000E+01  0.33642E+01
-0.17000E+01  0.32733E+01
-0.18000E+01  0.31446E+01
-0.19000E+01  0.30859E+01
-0.20000E+01  0.29503E+01
-0.21000E+01  0.29023E+01
-0.22000E+01  0.28492E+01
-0.23000E+01  0.27847E+01
-0.24000E+01  0.27660E+01
-0.25000E+01  0.27355E+01
-0.26000E+01  0.27306E+01
-0.27000E+01  0.27361E+01
-0.28000E+01  0.27472E+01
-0.29000E+01  0.27611E+01
-0.30000E+01  0.27831E+01
-0.31000E+01  0.28054E+01
-0.32000E+01  0.28132E+01
-0.33000E+01  0.28353E+01
-0.34000E+01  0.28626E+01
-0.35000E+01  0.28962E+01
-0.36000E+01  0.29322E+01
-0.37000E+01  0.29795E+01
-0.38000E+01  0.30311E+01
-0.39000E+01  0.30873E+01
-0.40000E+01  0.31496E+01
-0.41000E+01  0.32075E+01
-0.42000E+01  0.32706E+01
-0.43000E+01  0.33367E+01
-0.44000E+01  0.34126E+01
-0.45000E+01  0.34637E+01
-0.46000E+01  0.35168E+01
-0.47000E+01  0.35721E+01
-0.48000E+01  0.36275E+01
-0.49000E+01  0.36823E+01
-0.50000E+01  0.37455E+01
-0.51000E+01  0.37770E+01
-0.52000E+01  0.38153E+01
-0.53000E+01  0.38530E+01
-0.54000E+01  0.38894E+01
-0.55000E+01  0.39336E+01
-0.56000E+01  0.39465E+01
-0.57000E+01  0.39611E+01
-0.58000E+01  0.39759E+01
-0.59000E+01  0.39899E+01
-0.60000E+01  0.40032E+01
-0.61000E+01  0.40132E+01
-0.62000E+01  0.40238E+01
-0.63000E+01  0.40330E+01
-0.64000E+01  0.40455E+01
-0.65000E+01  0.40924E+01
-0.66000E+01  0.40537E+01
-0.67000E+01  0.40510E+01
-0.68000E+01  0.40509E+01
-0.69000E+01  0.40517E+01
-0.70000E+01  0.40512E+01
-0.71000E+01  0.40522E+01
-0.72000E+01  0.40520E+01
-0.73000E+01  0.40527E+01
-0.74000E+01  0.40526E+01
-0.75000E+01  0.40531E+01
-0.76000E+01  0.40532E+01
-0.77000E+01  0.40533E+01
-0.78000E+01  0.40539E+01
-0.79000E+01  0.40531E+01
-0.80000E+01  0.40541E+01
 zone T = "Var            1 : Predicted",
 0.00000E+00  0.18835E+01
-0.10000E+00  0.18863E+01
-0.20000E+00  0.18893E+01
-0.30000E+00  0.18925E+01
-0.40000E+00  0.18958E+01
-0.50000E+00  0.18989E+01
-0.60000E+00  0.19017E+01
-0.70000E+00  0.19041E+01
-0.80000E+00  0.19059E+01
-0.90000E+00  0.19070E+01
-0.10000E+01  0.19075E+01
-0.11000E+01  0.19074E+01
-0.12000E+01  0.19068E+01
-0.13000E+01  0.19060E+01
-0.14000E+01  0.19049E+01
-0.15000E+01  0.19037E+01
-0.16000E+01  0.19025E+01
-0.17000E+01  0.19013E+01
-0.18000E+01  0.19002E+01
-0.19000E+01  0.18992E+01
-0.20000E+01  0.18983E+01
-0.21000E+01  0.18976E+01
-0.22000E+01  0.18969E+01
-0.23000E+01  0.18964E+01
-0.24000E+01  0.18959E+01
-0.25000E+01  0.18955E+01
-0.26000E+01  0.18952E+01
-0.27000E+01  0.18950E+01
-0.28000E+01  0.18948E+01
-0.29000E+01  0.18946E+01
-0.30000E+01  0.18945E+01
-0.31000E+01  0.18944E+01
-0.32000E+01  0.18944E+01
-0.33000E+01  0.18943E+01
-0.34000E+01  0.18943E+01
-0.35000E+01  0.18942E+01
-0.36000E+01  0.18942E+01
-0.37000E+01  0.18942E+01
-0.38000E+01  0.18942E+01
-0.39000E+01  0.18942E+01
-0.40000E+01  0.18942E+01
-0.41000E+01  0.18942E+01
-0.42000E+01  0.18942E+01
-0.43000E+01  0.18941E+01
-0.44000E+01  0.18941E+01
-0.45000E+01  0.18941E+01
-0.46000E+01  0.18941E+01
-0.47000E+01  0.18941E+01
-0.48000E+01  0.18941E+01
-0.49000E+01  0.18941E+01
-0.50000E+01  0.18941E+01
-0.51000E+01  0.18941E+01
-0.52000E+01  0.18941E+01
-0.53000E+01  0.18941E+01
